,From,To,From_Table,To_Table,Weight,Distance,Edge_Name
42,1413,1621,Supplier,Externaltransactions,100,,externaltransactions
43,1621,64,Externaltransactions,Customer,100,,externaltransactions
44,1347,1622,Supplier,Externaltransactions,100,,externaltransactions
45,1622,49,Externaltransactions,Customer,100,,externaltransactions
46,1305,1623,Supplier,Externaltransactions,100,,externaltransactions
47,1623,104,Externaltransactions,Customer,100,,externaltransactions
48,1374,1624,Supplier,Externaltransactions,100,,externaltransactions
49,1624,124,Externaltransactions,Customer,100,,externaltransactions
50,1430,1625,Supplier,Externaltransactions,100,,externaltransactions
51,1625,138,Externaltransactions,Customer,100,,externaltransactions
52,1425,1626,Supplier,Externaltransactions,100,,externaltransactions
53,1626,23,Externaltransactions,Customer,100,,externaltransactions
54,1315,1627,Supplier,Externaltransactions,100,,externaltransactions
55,1627,69,Externaltransactions,Customer,100,,externaltransactions
56,1488,1628,Supplier,Externaltransactions,100,,externaltransactions
57,1628,50,Externaltransactions,Customer,100,,externaltransactions
58,1562,1629,Supplier,Externaltransactions,100,,externaltransactions
59,1629,14,Externaltransactions,Customer,100,,externaltransactions
60,1530,1630,Supplier,Externaltransactions,100,,externaltransactions
61,1630,145,Externaltransactions,Customer,100,,externaltransactions
62,1397,1631,Supplier,Externaltransactions,100,,externaltransactions
63,1631,71,Externaltransactions,Customer,100,,externaltransactions
64,1513,1632,Supplier,Externaltransactions,100,,externaltransactions
65,1632,97,Externaltransactions,Customer,100,,externaltransactions
66,1575,1633,Supplier,Externaltransactions,100,,externaltransactions
67,1633,139,Externaltransactions,Customer,100,,externaltransactions
68,1381,1634,Supplier,Externaltransactions,100,,externaltransactions
69,1634,13,Externaltransactions,Customer,100,,externaltransactions
70,1509,1635,Supplier,Externaltransactions,100,,externaltransactions
71,1635,37,Externaltransactions,Customer,100,,externaltransactions
72,1470,1636,Supplier,Externaltransactions,100,,externaltransactions
73,1636,33,Externaltransactions,Customer,100,,externaltransactions
74,1530,1637,Supplier,Externaltransactions,100,,externaltransactions
75,1637,147,Externaltransactions,Customer,100,,externaltransactions
76,1465,1638,Supplier,Externaltransactions,100,,externaltransactions
77,1638,59,Externaltransactions,Customer,100,,externaltransactions
78,1588,1639,Supplier,Externaltransactions,100,,externaltransactions
79,1639,104,Externaltransactions,Customer,100,,externaltransactions
80,1470,1640,Supplier,Externaltransactions,100,,externaltransactions
81,1640,127,Externaltransactions,Customer,100,,externaltransactions
82,1564,1641,Supplier,Externaltransactions,100,,externaltransactions
83,1641,75,Externaltransactions,Customer,100,,externaltransactions
84,1490,1642,Supplier,Externaltransactions,100,,externaltransactions
85,1642,102,Externaltransactions,Customer,100,,externaltransactions
86,1593,1643,Supplier,Externaltransactions,100,,externaltransactions
87,1643,14,Externaltransactions,Customer,100,,externaltransactions
88,1351,1644,Supplier,Externaltransactions,100,,externaltransactions
89,1644,131,Externaltransactions,Customer,100,,externaltransactions
90,1425,1645,Supplier,Externaltransactions,100,,externaltransactions
91,1645,73,Externaltransactions,Customer,100,,externaltransactions
92,1539,1646,Supplier,Externaltransactions,100,,externaltransactions
93,1646,41,Externaltransactions,Customer,100,,externaltransactions
94,1433,1647,Supplier,Externaltransactions,100,,externaltransactions
95,1647,118,Externaltransactions,Customer,100,,externaltransactions
96,1531,1648,Supplier,Externaltransactions,100,,externaltransactions
97,1648,2,Externaltransactions,Customer,100,,externaltransactions
98,1525,1649,Supplier,Externaltransactions,100,,externaltransactions
99,1649,6,Externaltransactions,Customer,100,,externaltransactions
100,1465,1650,Supplier,Externaltransactions,100,,externaltransactions
101,1650,48,Externaltransactions,Customer,100,,externaltransactions
102,1475,1651,Supplier,Externaltransactions,100,,externaltransactions
103,1651,64,Externaltransactions,Customer,100,,externaltransactions
104,1579,1652,Supplier,Externaltransactions,100,,externaltransactions
105,1652,105,Externaltransactions,Customer,100,,externaltransactions
106,1397,1653,Supplier,Externaltransactions,100,,externaltransactions
107,1653,117,Externaltransactions,Customer,100,,externaltransactions
108,1599,1654,Supplier,Externaltransactions,100,,externaltransactions
109,1654,63,Externaltransactions,Customer,100,,externaltransactions
110,1599,1655,Supplier,Externaltransactions,100,,externaltransactions
111,1655,101,Externaltransactions,Customer,100,,externaltransactions
112,1416,1656,Supplier,Externaltransactions,100,,externaltransactions
113,1656,132,Externaltransactions,Customer,100,,externaltransactions
114,1406,1657,Supplier,Externaltransactions,100,,externaltransactions
115,1657,144,Externaltransactions,Customer,100,,externaltransactions
116,1363,1658,Supplier,Externaltransactions,100,,externaltransactions
117,1658,96,Externaltransactions,Customer,100,,externaltransactions
118,1559,1659,Supplier,Externaltransactions,100,,externaltransactions
119,1659,117,Externaltransactions,Customer,100,,externaltransactions
120,1527,1660,Supplier,Externaltransactions,100,,externaltransactions
121,1660,17,Externaltransactions,Customer,100,,externaltransactions
122,1414,1661,Supplier,Externaltransactions,100,,externaltransactions
123,1661,142,Externaltransactions,Customer,100,,externaltransactions
124,1465,1662,Supplier,Externaltransactions,100,,externaltransactions
125,1662,36,Externaltransactions,Customer,100,,externaltransactions
126,1433,1663,Supplier,Externaltransactions,100,,externaltransactions
127,1663,34,Externaltransactions,Customer,100,,externaltransactions
128,1580,1664,Supplier,Externaltransactions,100,,externaltransactions
129,1664,104,Externaltransactions,Customer,100,,externaltransactions
130,1462,1665,Supplier,Externaltransactions,100,,externaltransactions
131,1665,80,Externaltransactions,Customer,100,,externaltransactions
132,1356,1666,Supplier,Externaltransactions,100,,externaltransactions
133,1666,126,Externaltransactions,Customer,100,,externaltransactions
134,1389,1667,Supplier,Externaltransactions,100,,externaltransactions
135,1667,115,Externaltransactions,Customer,100,,externaltransactions
136,1375,1668,Supplier,Externaltransactions,100,,externaltransactions
137,1668,126,Externaltransactions,Customer,100,,externaltransactions
138,1372,1669,Supplier,Externaltransactions,100,,externaltransactions
139,1669,70,Externaltransactions,Customer,100,,externaltransactions
140,1488,1670,Supplier,Externaltransactions,100,,externaltransactions
141,1670,88,Externaltransactions,Customer,100,,externaltransactions
142,1468,1671,Supplier,Externaltransactions,100,,externaltransactions
143,1671,53,Externaltransactions,Customer,100,,externaltransactions
144,1593,1672,Supplier,Externaltransactions,100,,externaltransactions
145,1672,82,Externaltransactions,Customer,100,,externaltransactions
146,1348,1673,Supplier,Externaltransactions,100,,externaltransactions
147,1673,124,Externaltransactions,Customer,100,,externaltransactions
148,1379,1674,Supplier,Externaltransactions,100,,externaltransactions
149,1674,95,Externaltransactions,Customer,100,,externaltransactions
150,1424,1675,Supplier,Externaltransactions,100,,externaltransactions
151,1675,130,Externaltransactions,Customer,100,,externaltransactions
152,1540,1676,Supplier,Externaltransactions,100,,externaltransactions
153,1676,149,Externaltransactions,Customer,100,,externaltransactions
154,1404,1677,Supplier,Externaltransactions,100,,externaltransactions
155,1677,2,Externaltransactions,Customer,100,,externaltransactions
156,1508,1678,Supplier,Externaltransactions,100,,externaltransactions
157,1678,30,Externaltransactions,Customer,100,,externaltransactions
158,1508,1679,Supplier,Externaltransactions,100,,externaltransactions
159,1679,2,Externaltransactions,Customer,100,,externaltransactions
160,1546,1680,Supplier,Externaltransactions,100,,externaltransactions
161,1680,101,Externaltransactions,Customer,100,,externaltransactions
162,1397,1681,Supplier,Externaltransactions,100,,externaltransactions
163,1681,147,Externaltransactions,Customer,100,,externaltransactions
164,1347,1682,Supplier,Externaltransactions,100,,externaltransactions
165,1682,85,Externaltransactions,Customer,100,,externaltransactions
166,1406,1683,Supplier,Externaltransactions,100,,externaltransactions
167,1683,64,Externaltransactions,Customer,100,,externaltransactions
168,1426,1684,Supplier,Externaltransactions,100,,externaltransactions
169,1684,147,Externaltransactions,Customer,100,,externaltransactions
170,1435,1685,Supplier,Externaltransactions,100,,externaltransactions
171,1685,39,Externaltransactions,Customer,100,,externaltransactions
172,1430,1686,Supplier,Externaltransactions,100,,externaltransactions
173,1686,117,Externaltransactions,Customer,100,,externaltransactions
174,1546,1687,Supplier,Externaltransactions,100,,externaltransactions
175,1687,134,Externaltransactions,Customer,100,,externaltransactions
176,1424,1688,Supplier,Externaltransactions,100,,externaltransactions
177,1688,37,Externaltransactions,Customer,100,,externaltransactions
178,1513,1689,Supplier,Externaltransactions,100,,externaltransactions
179,1689,42,Externaltransactions,Customer,100,,externaltransactions
180,1459,1690,Supplier,Externaltransactions,100,,externaltransactions
181,1690,59,Externaltransactions,Customer,100,,externaltransactions
182,1319,1691,Supplier,Externaltransactions,100,,externaltransactions
183,1691,95,Externaltransactions,Customer,100,,externaltransactions
184,1471,1692,Supplier,Externaltransactions,100,,externaltransactions
185,1692,14,Externaltransactions,Customer,100,,externaltransactions
186,1411,1693,Supplier,Externaltransactions,100,,externaltransactions
187,1693,126,Externaltransactions,Customer,100,,externaltransactions
188,1424,1694,Supplier,Externaltransactions,100,,externaltransactions
189,1694,113,Externaltransactions,Customer,100,,externaltransactions
190,1559,1695,Supplier,Externaltransactions,100,,externaltransactions
191,1695,119,Externaltransactions,Customer,100,,externaltransactions
192,1527,1696,Supplier,Externaltransactions,100,,externaltransactions
193,1696,35,Externaltransactions,Customer,100,,externaltransactions
194,1458,1697,Supplier,Externaltransactions,100,,externaltransactions
195,1697,110,Externaltransactions,Customer,100,,externaltransactions
196,1330,1698,Supplier,Externaltransactions,100,,externaltransactions
197,1698,39,Externaltransactions,Customer,100,,externaltransactions
198,1559,1699,Supplier,Externaltransactions,100,,externaltransactions
199,1699,113,Externaltransactions,Customer,100,,externaltransactions
200,1471,1700,Supplier,Srintship,100,,srintship
201,1700,1263,Srintship,Retailer,100,,srintship
202,1315,1701,Supplier,Srintship,100,,srintship
203,1701,1217,Srintship,Retailer,100,,srintship
204,1531,1702,Supplier,Srintship,100,,srintship
205,1702,1193,Srintship,Retailer,100,,srintship
206,1540,1703,Supplier,Srintship,100,,srintship
207,1703,1267,Srintship,Retailer,100,,srintship
208,1569,1704,Supplier,Srintship,100,,srintship
209,1704,1272,Srintship,Retailer,100,,srintship
210,1468,1705,Supplier,Srintship,100,,srintship
211,1705,1197,Srintship,Retailer,100,,srintship
212,1464,1706,Supplier,Srintship,100,,srintship
213,1706,1153,Srintship,Retailer,100,,srintship
214,1393,1707,Supplier,Srintship,100,,srintship
215,1707,1157,Srintship,Retailer,100,,srintship
216,1372,1708,Supplier,Srintship,100,,srintship
217,1708,1263,Srintship,Retailer,100,,srintship
218,1507,1709,Supplier,Srintship,100,,srintship
219,1709,1188,Srintship,Retailer,100,,srintship
220,1493,1710,Supplier,Srintship,100,,srintship
221,1710,1295,Srintship,Retailer,100,,srintship
222,1417,1711,Supplier,Srintship,100,,srintship
223,1711,1194,Srintship,Retailer,100,,srintship
224,1352,1712,Supplier,Srintship,100,,srintship
225,1712,1261,Srintship,Retailer,100,,srintship
226,1414,1713,Supplier,Srintship,100,,srintship
227,1713,1283,Srintship,Retailer,100,,srintship
228,1588,1714,Supplier,Srintship,100,,srintship
229,1714,1203,Srintship,Retailer,100,,srintship
230,1575,1715,Supplier,Srintship,100,,srintship
231,1715,1249,Srintship,Retailer,100,,srintship
232,1417,1716,Supplier,Srintship,100,,srintship
233,1716,1287,Srintship,Retailer,100,,srintship
234,1406,1717,Supplier,Srintship,100,,srintship
235,1717,1269,Srintship,Retailer,100,,srintship
236,1397,1718,Supplier,Srintship,100,,srintship
237,1718,1197,Srintship,Retailer,100,,srintship
238,1519,1719,Supplier,Srintship,100,,srintship
239,1719,1188,Srintship,Retailer,100,,srintship
240,1356,1720,Supplier,Srintship,100,,srintship
241,1720,1265,Srintship,Retailer,100,,srintship
242,1456,1721,Supplier,Srintship,100,,srintship
243,1721,1184,Srintship,Retailer,100,,srintship
244,1414,1722,Supplier,Srintship,100,,srintship
245,1722,1160,Srintship,Retailer,100,,srintship
246,1405,1723,Supplier,Srintship,100,,srintship
247,1723,1203,Srintship,Retailer,100,,srintship
248,1375,1724,Supplier,Srintship,100,,srintship
249,1724,1237,Srintship,Retailer,100,,srintship
250,1562,1725,Supplier,Srintship,100,,srintship
251,1725,1163,Srintship,Retailer,100,,srintship
252,1597,1726,Supplier,Srintship,100,,srintship
253,1726,1207,Srintship,Retailer,100,,srintship
254,1405,1727,Supplier,Srintship,100,,srintship
255,1727,1177,Srintship,Retailer,100,,srintship
256,1379,1728,Supplier,Srintship,100,,srintship
257,1728,1241,Srintship,Retailer,100,,srintship
258,1381,1729,Supplier,Srintship,100,,srintship
259,1729,1183,Srintship,Retailer,100,,srintship
260,1367,1730,Supplier,Srintship,100,,srintship
261,1730,1212,Srintship,Retailer,100,,srintship
262,1435,1731,Supplier,Srintship,100,,srintship
263,1731,1290,Srintship,Retailer,100,,srintship
264,1559,1732,Supplier,Srintship,100,,srintship
265,1732,1191,Srintship,Retailer,100,,srintship
266,1416,1733,Supplier,Srintship,100,,srintship
267,1733,1210,Srintship,Retailer,100,,srintship
268,1588,1734,Supplier,Srintship,100,,srintship
269,1734,1280,Srintship,Retailer,100,,srintship
270,1351,1735,Supplier,Srintship,100,,srintship
271,1735,1288,Srintship,Retailer,100,,srintship
272,1433,1736,Supplier,Srintship,100,,srintship
273,1736,1242,Srintship,Retailer,100,,srintship
274,1375,1737,Supplier,Srintship,100,,srintship
275,1737,1170,Srintship,Retailer,100,,srintship
276,1374,1738,Supplier,Srintship,100,,srintship
277,1738,1262,Srintship,Retailer,100,,srintship
278,1549,1739,Supplier,Srintship,100,,srintship
279,1739,1210,Srintship,Retailer,100,,srintship
280,1580,1740,Supplier,Srintship,100,,srintship
281,1740,1155,Srintship,Retailer,100,,srintship
282,1571,1741,Supplier,Srintship,100,,srintship
283,1741,1258,Srintship,Retailer,100,,srintship
284,1571,1742,Supplier,Srintship,100,,srintship
285,1742,1268,Srintship,Retailer,100,,srintship
286,1531,1743,Supplier,Srintship,100,,srintship
287,1743,1238,Srintship,Retailer,100,,srintship
288,1352,1744,Supplier,Srintship,100,,srintship
289,1744,1290,Srintship,Retailer,100,,srintship
290,1588,1745,Supplier,Srintship,100,,srintship
291,1745,1216,Srintship,Retailer,100,,srintship
292,1593,1746,Supplier,Srintship,100,,srintship
293,1746,1201,Srintship,Retailer,100,,srintship
294,1527,1747,Supplier,Srintship,100,,srintship
295,1747,1179,Srintship,Retailer,100,,srintship
296,1593,1748,Supplier,Srintship,100,,srintship
297,1748,1219,Srintship,Retailer,100,,srintship
298,1575,1749,Supplier,Srintship,100,,srintship
299,1749,1188,Srintship,Retailer,100,,srintship
300,1352,1750,Supplier,Srintship,100,,srintship
301,1750,1251,Srintship,Retailer,100,,srintship
302,1281,1751,Retailer,Rcextship,100,,rcextship
303,1751,142,Rcextship,Customer,100,,rcextship
304,1216,1752,Retailer,Rcextship,100,,rcextship
305,1752,84,Rcextship,Customer,100,,rcextship
306,1188,1753,Retailer,Rcextship,100,,rcextship
307,1753,27,Rcextship,Customer,100,,rcextship
308,1252,1754,Retailer,Rcextship,100,,rcextship
309,1754,5,Rcextship,Customer,100,,rcextship
310,1185,1755,Retailer,Rcextship,100,,rcextship
311,1755,41,Rcextship,Customer,100,,rcextship
312,1247,1756,Retailer,Rcextship,100,,rcextship
313,1756,63,Rcextship,Customer,100,,rcextship
314,1150,1757,Retailer,Rcextship,100,,rcextship
315,1757,137,Rcextship,Customer,100,,rcextship
316,1258,1758,Retailer,Rcextship,100,,rcextship
317,1758,104,Rcextship,Customer,100,,rcextship
318,1268,1759,Retailer,Rcextship,100,,rcextship
319,1759,78,Rcextship,Customer,100,,rcextship
320,1222,1760,Retailer,Rcextship,100,,rcextship
321,1760,109,Rcextship,Customer,100,,rcextship
322,1284,1761,Retailer,Rcextship,100,,rcextship
323,1761,99,Rcextship,Customer,100,,rcextship
324,1235,1762,Retailer,Rcextship,100,,rcextship
325,1762,123,Rcextship,Customer,100,,rcextship
326,1288,1763,Retailer,Rcextship,100,,rcextship
327,1763,42,Rcextship,Customer,100,,rcextship
328,1247,1764,Retailer,Rcextship,100,,rcextship
329,1764,85,Rcextship,Customer,100,,rcextship
330,1194,1765,Retailer,Rcextship,100,,rcextship
331,1765,129,Rcextship,Customer,100,,rcextship
332,1218,1766,Retailer,Rcextship,100,,rcextship
333,1766,143,Rcextship,Customer,100,,rcextship
334,1231,1767,Retailer,Rcextship,100,,rcextship
335,1767,19,Rcextship,Customer,100,,rcextship
336,1194,1768,Retailer,Rcextship,100,,rcextship
337,1768,131,Rcextship,Customer,100,,rcextship
338,1280,1769,Retailer,Rcextship,100,,rcextship
339,1769,65,Rcextship,Customer,100,,rcextship
340,1154,1770,Retailer,Rcextship,100,,rcextship
341,1770,95,Rcextship,Customer,100,,rcextship
342,1231,1771,Retailer,Rcextship,100,,rcextship
343,1771,141,Rcextship,Customer,100,,rcextship
344,1281,1772,Retailer,Rcextship,100,,rcextship
345,1772,114,Rcextship,Customer,100,,rcextship
346,1159,1773,Retailer,Rcextship,100,,rcextship
347,1773,144,Rcextship,Customer,100,,rcextship
348,1157,1774,Retailer,Rcextship,100,,rcextship
349,1774,73,Rcextship,Customer,100,,rcextship
350,1294,1775,Retailer,Rcextship,100,,rcextship
351,1775,140,Rcextship,Customer,100,,rcextship
352,1229,1776,Retailer,Rcextship,100,,rcextship
353,1776,14,Rcextship,Customer,100,,rcextship
354,1272,1777,Retailer,Rcextship,100,,rcextship
355,1777,9,Rcextship,Customer,100,,rcextship
356,1150,1778,Retailer,Rcextship,100,,rcextship
357,1778,134,Rcextship,Customer,100,,rcextship
358,1167,1779,Retailer,Rcextship,100,,rcextship
359,1779,124,Rcextship,Customer,100,,rcextship
360,1275,1780,Retailer,Rcextship,100,,rcextship
361,1780,144,Rcextship,Customer,100,,rcextship
362,1166,1781,Retailer,Rcextship,100,,rcextship
363,1781,92,Rcextship,Customer,100,,rcextship
364,1206,1782,Retailer,Rcextship,100,,rcextship
365,1782,113,Rcextship,Customer,100,,rcextship
366,1228,1783,Retailer,Rcextship,100,,rcextship
367,1783,69,Rcextship,Customer,100,,rcextship
368,1285,1784,Retailer,Rcextship,100,,rcextship
369,1784,19,Rcextship,Customer,100,,rcextship
370,1201,1785,Retailer,Rcextship,100,,rcextship
371,1785,17,Rcextship,Customer,100,,rcextship
372,1151,1786,Retailer,Rcextship,100,,rcextship
373,1786,39,Rcextship,Customer,100,,rcextship
374,1167,1787,Retailer,Rcextship,100,,rcextship
375,1787,78,Rcextship,Customer,100,,rcextship
376,1272,1788,Retailer,Rcextship,100,,rcextship
377,1788,17,Rcextship,Customer,100,,rcextship
378,1297,1789,Retailer,Rcextship,100,,rcextship
379,1789,86,Rcextship,Customer,100,,rcextship
380,1160,1790,Retailer,Rcextship,100,,rcextship
381,1790,5,Rcextship,Customer,100,,rcextship
382,1272,1791,Retailer,Rcextship,100,,rcextship
383,1791,11,Rcextship,Customer,100,,rcextship
384,1164,1792,Retailer,Rcextship,100,,rcextship
385,1792,131,Rcextship,Customer,100,,rcextship
386,1296,1793,Retailer,Rcextship,100,,rcextship
387,1793,2,Rcextship,Customer,100,,rcextship
388,1256,1794,Retailer,Rcextship,100,,rcextship
389,1794,149,Rcextship,Customer,100,,rcextship
390,1259,1795,Retailer,Rcextship,100,,rcextship
391,1795,94,Rcextship,Customer,100,,rcextship
392,1223,1796,Retailer,Rcextship,100,,rcextship
393,1796,76,Rcextship,Customer,100,,rcextship
394,1156,1797,Retailer,Rcextship,100,,rcextship
395,1797,107,Rcextship,Customer,100,,rcextship
396,1238,1798,Retailer,Rcextship,100,,rcextship
397,1798,74,Rcextship,Customer,100,,rcextship
398,1298,1799,Retailer,Rcextship,100,,rcextship
399,1799,19,Rcextship,Customer,100,,rcextship
400,1156,1800,Retailer,Rcextship,100,,rcextship
401,1800,3,Rcextship,Customer,100,,rcextship
402,1182,1801,Retailer,Rcextship,100,,rcextship
403,1801,52,Rcextship,Customer,100,,rcextship
404,1362,1802,Supplier,Scextship,100,,scextship
405,1802,93,Scextship,Customer,100,,scextship
406,1394,1803,Supplier,Scextship,100,,scextship
407,1803,64,Scextship,Customer,100,,scextship
408,1425,1804,Supplier,Scextship,100,,scextship
409,1804,49,Scextship,Customer,100,,scextship
410,1430,1805,Supplier,Scextship,100,,scextship
411,1805,133,Scextship,Customer,100,,scextship
412,1305,1806,Supplier,Scextship,100,,scextship
413,1806,127,Scextship,Customer,100,,scextship
414,1458,1807,Supplier,Scextship,100,,scextship
415,1807,57,Scextship,Customer,100,,scextship
416,1379,1808,Supplier,Scextship,100,,scextship
417,1808,46,Scextship,Customer,100,,scextship
418,1527,1809,Supplier,Scextship,100,,scextship
419,1809,47,Scextship,Customer,100,,scextship
420,1468,1810,Supplier,Scextship,100,,scextship
421,1810,98,Scextship,Customer,100,,scextship
422,1379,1811,Supplier,Scextship,100,,scextship
423,1811,84,Scextship,Customer,100,,scextship
424,1356,1812,Supplier,Scextship,100,,scextship
425,1812,12,Scextship,Customer,100,,scextship
426,1433,1813,Supplier,Scextship,100,,scextship
427,1813,81,Scextship,Customer,100,,scextship
428,1500,1814,Supplier,Scextship,100,,scextship
429,1814,0,Scextship,Customer,100,,scextship
430,1362,1815,Supplier,Scextship,100,,scextship
431,1815,62,Scextship,Customer,100,,scextship
432,1433,1816,Supplier,Scextship,100,,scextship
433,1816,110,Scextship,Customer,100,,scextship
434,1597,1817,Supplier,Scextship,100,,scextship
435,1817,0,Scextship,Customer,100,,scextship
436,1596,1818,Supplier,Scextship,100,,scextship
437,1818,21,Scextship,Customer,100,,scextship
438,1363,1819,Supplier,Scextship,100,,scextship
439,1819,110,Scextship,Customer,100,,scextship
440,1503,1820,Supplier,Scextship,100,,scextship
441,1820,56,Scextship,Customer,100,,scextship
442,1433,1821,Supplier,Scextship,100,,scextship
443,1821,115,Scextship,Customer,100,,scextship
444,1513,1822,Supplier,Scextship,100,,scextship
445,1822,1,Scextship,Customer,100,,scextship
446,1389,1823,Supplier,Scextship,100,,scextship
447,1823,50,Scextship,Customer,100,,scextship
448,1321,1824,Supplier,Scextship,100,,scextship
449,1824,136,Scextship,Customer,100,,scextship
450,1303,1825,Supplier,Scextship,100,,scextship
451,1825,35,Scextship,Customer,100,,scextship
452,1503,1826,Supplier,Scextship,100,,scextship
453,1826,60,Scextship,Customer,100,,scextship
454,1562,1827,Supplier,Scextship,100,,scextship
455,1827,141,Scextship,Customer,100,,scextship
456,1372,1828,Supplier,Scextship,100,,scextship
457,1828,6,Scextship,Customer,100,,scextship
458,1464,1829,Supplier,Scextship,100,,scextship
459,1829,64,Scextship,Customer,100,,scextship
460,1527,1830,Supplier,Scextship,100,,scextship
461,1830,64,Scextship,Customer,100,,scextship
462,1471,1831,Supplier,Scextship,100,,scextship
463,1831,131,Scextship,Customer,100,,scextship
464,1530,1832,Supplier,Scextship,100,,scextship
465,1832,107,Scextship,Customer,100,,scextship
466,1490,1833,Supplier,Scextship,100,,scextship
467,1833,33,Scextship,Customer,100,,scextship
468,1404,1834,Supplier,Scextship,100,,scextship
469,1834,14,Scextship,Customer,100,,scextship
470,1305,1835,Supplier,Scextship,100,,scextship
471,1835,63,Scextship,Customer,100,,scextship
472,1315,1836,Supplier,Scextship,100,,scextship
473,1836,110,Scextship,Customer,100,,scextship
474,1438,1837,Supplier,Scextship,100,,scextship
475,1837,65,Scextship,Customer,100,,scextship
476,1530,1838,Supplier,Scextship,100,,scextship
477,1838,88,Scextship,Customer,100,,scextship
478,1315,1839,Supplier,Scextship,100,,scextship
479,1839,19,Scextship,Customer,100,,scextship
480,1394,1840,Supplier,Scextship,100,,scextship
481,1840,51,Scextship,Customer,100,,scextship
482,1381,1841,Supplier,Scextship,100,,scextship
483,1841,80,Scextship,Customer,100,,scextship
484,1311,1842,Supplier,Scextship,100,,scextship
485,1842,12,Scextship,Customer,100,,scextship
486,1404,1843,Supplier,Scextship,100,,scextship
487,1843,63,Scextship,Customer,100,,scextship
488,1405,1844,Supplier,Scextship,100,,scextship
489,1844,75,Scextship,Customer,100,,scextship
490,1405,1845,Supplier,Scextship,100,,scextship
491,1845,55,Scextship,Customer,100,,scextship
492,1433,1846,Supplier,Scextship,100,,scextship
493,1846,139,Scextship,Customer,100,,scextship
494,1458,1847,Supplier,Scextship,100,,scextship
495,1847,29,Scextship,Customer,100,,scextship
496,1394,1848,Supplier,Scextship,100,,scextship
497,1848,67,Scextship,Customer,100,,scextship
498,1306,1849,Supplier,Scextship,100,,scextship
499,1849,25,Scextship,Customer,100,,scextship
500,1519,1850,Supplier,Scextship,100,,scextship
501,1850,54,Scextship,Customer,100,,scextship
502,1540,1851,Supplier,Ssintship,100,,ssintship
503,1851,1464,Ssintship,Supplier,100,,ssintship
504,1459,1852,Supplier,Ssintship,100,,ssintship
505,1852,1372,Ssintship,Supplier,100,,ssintship
506,1426,1853,Supplier,Ssintship,100,,ssintship
507,1853,1425,Ssintship,Supplier,100,,ssintship
508,1405,1854,Supplier,Ssintship,100,,ssintship
509,1854,1413,Ssintship,Supplier,100,,ssintship
510,1370,1855,Supplier,Ssintship,100,,ssintship
511,1855,1488,Ssintship,Supplier,100,,ssintship
512,1393,1856,Supplier,Ssintship,100,,ssintship
513,1856,1411,Ssintship,Supplier,100,,ssintship
514,1546,1857,Supplier,Ssintship,100,,ssintship
515,1857,1527,Ssintship,Supplier,100,,ssintship
