,label,Attributes
38,retailer,"['Albania' 'Korçë' 'customer end' 862
 list(['Education', 'Public & Social Sector', 'Healthcare Systems & Services'])
 1 1 1178695]"
39,retailer,['Sierra Leone' 'Eastern' 'distributer' 790 list([]) 4 4 642703]
40,retailer,"['Svalbard and Jan Mayen' 'Unknown' 'customer end' 677 list([]) 1 1
 1147524]"
41,retailer,['Slovenia' 'Rače-Fram' 'customer end' 283 list(['Retail']) 4 4 661934]
42,retailer,['Cambodia' 'Kandaal' 'distributer' 886 list([]) 1 1 1505690]
43,retailer,"['New Zealand' 'Marlborough' 'vendor' 578 list(['Real Estate']) 2 5
 1095963]"
44,retailer,"['Croatia' 'Virovitičko-podravska županija' 'abroad' 133
 list(['Financial Services']) 1 3 1079674]"
45,retailer,['Gabon' 'Woleu-Ntem' 'customer end' 331 list([]) 1 4 1524443]
46,retailer,"['Central African Republic' 'Bamingui-Bangoran' 'customer end' 198
 list([]) 3 7 904945]"
47,retailer,"['Bouvet Island' 'Unknown' 'vendor' 693 list(['Oil & Gas', 'Chemicals']) 1
 2 136577]"
48,retailer,"['British Indian Ocean Territory' 'Unknown' 'distributer' 253 list([]) 4 8
 1141762]"
49,retailer,['Tajikistan' 'nohiyahoi tobei jumhurí' 'vendor' 572 list([]) 3 2 452788]
50,retailer,['Cabo Verde' 'São Salvador do Mundo' 'abroad' 773 list([]) 1 3 1137167]
51,retailer,"['Malawi' 'Dowa' 'customer end' 687 list(['Automotive & Assembly']) 4 3
 1926475]"
52,retailer,"['Saint Helena, Ascension and Tristan da Cunha' 'Saint Helena' 'vendor'
 315 list([]) 1 8 1662706]"
53,retailer,"['Albania' 'Elbasan' 'abroad' 527
 list(['Advanced Electronics', 'Life Sciences']) 4 2 1569819]"
54,retailer,"['Saint Vincent and the Grenadines' 'Charlotte' 'customer end' 996
 list([]) 2 8 276071]"
55,retailer,['Anguilla' 'Unknown' 'abroad' 313 list([]) 4 4 592968]
56,retailer,['Niger' 'Dosso' 'distributer' 284 list([]) 2 9 234649]
57,retailer,"['Bangladesh' 'Shariatpur' 'distributer' 536
 list(['Paper, Forest Products & Packaging']) 2 3 1933670]"
58,retailer,['Kiribati' 'Line Islands' 'distributer' 189 list([]) 1 8 1222269]
59,retailer,['Macao' 'Unknown' 'customer end' 349 list([]) 2 7 748767]
60,retailer,"['Luxembourg' 'Mersch' 'customer end' 549
 list(['Metals & Mining', 'Paper, Forest Products & Packaging']) 2 1
 1786531]"
61,retailer,"['Iran, Islamic Republic of' 'Zanjān' 'vendor' 871 list([]) 1 6 683362]"
62,retailer,"['Slovenia' 'Ivančna Gorica' 'abroad' 191 list(['Advanced Electronics']) 1
 7 915672]"
63,retailer,['Mali' 'Gao' 'distributer' 846 list([]) 2 5 1134350]
64,retailer,"['Kazakhstan' ""Turkestankaya oblast'"" 'customer end' 706 list([]) 4 4
 323272]"
65,retailer,['El Salvador' 'Usulután' 'vendor' 297 list([]) 1 2 1977961]
66,retailer,"['Djibouti' 'Tadjourah' 'distributer' 621 list(['Advanced Electronics']) 4
 6 1098430]"
67,retailer,"['Curaçao' 'Unknown' 'distributer' 660
 list(['Engineering, Construction & Building Materials']) 1 5 1638664]"
68,retailer,['New Caledonia' 'Unknown' 'distributer' 450 list([]) 4 9 1905955]
69,retailer,"['Belarus' 'Mahilioŭskaja voblasć' 'abroad' 988
 list(['Automotive & Assembly']) 4 5 367437]"
70,retailer,['Ghana' 'Savannah' 'abroad' 813 list([]) 5 9 604532]
71,retailer,['Canada' 'Manitoba' 'vendor' 252 list([]) 4 6 1283308]
72,retailer,['Brunei Darussalam' 'Belait' 'distributer' 537 list([]) 1 8 1445965]
73,retailer,['Åland Islands' 'Unknown' 'customer end' 770 list([]) 5 1 1898111]
74,retailer,['Fiji' 'Serua' 'vendor' 949 list([]) 2 1 348510]
75,retailer,['Oman' 'Al Buraymī' 'distributer' 535 list([]) 4 1 1662653]
76,retailer,['Turkmenistan' 'Balkan' 'abroad' 244 list([]) 3 9 1924299]
77,retailer,"['Virgin Islands, U.S.' 'Unknown' 'abroad' 721 list([]) 1 8 1366503]"
78,retailer,"['Kyrgyzstan' ""Dzhalal-Abadskaya oblast'"" 'abroad' 615 list([]) 3 5
 1532622]"
79,retailer,['Lebanon' 'Jabal Lubnān' 'distributer' 944 list([]) 2 2 1963377]
80,retailer,['Falkland Islands (Malvinas)' 'Unknown' 'abroad' 685 list([]) 5 2 640608]
81,retailer,['Isle of Man' 'Unknown' 'customer end' 414 list([]) 2 8 189504]
82,retailer,['Armenia' 'Tavuš' 'abroad' 866 list([]) 2 8 1279430]
83,retailer,['Ecuador' 'Cañar' 'distributer' 214 list([]) 5 9 471451]
84,retailer,['Norfolk Island' 'Unknown' 'distributer' 533 list([]) 4 1 982403]
85,retailer,['Palau' 'Ngardmau' 'distributer' 420 list([]) 1 6 1535193]
86,retailer,['Finland' 'Egentliga Finland' 'distributer' 369 list([]) 1 7 67540]
87,retailer,"['Martinique' 'Unknown' 'distributer' 204 list(['Aerospace & Defense']) 4
 9 499769]"
88,retailer,['France' 'Saint-Martin' 'abroad' 754 list(['Real Estate']) 2 4 1550866]
89,retailer,"['Greenland' 'Kommuneqarfik Sermersooq' 'customer end' 411 list([]) 1 1
 1039319]"
90,retailer,['Pakistan' 'Khyber Pakhtunkhwa' 'vendor' 139 list([]) 4 9 1396971]
91,retailer,"['Afghanistan' 'Laghmān' 'customer end' 850 list(['Advanced Electronics'])
 1 8 1347744]"
92,retailer,['Fiji' 'Kadavu' 'customer end' 931 list(['Chemicals']) 5 2 1474819]
93,retailer,['China' 'Shanxi Sheng' 'distributer' 154 list([]) 3 5 632673]
94,retailer,"[""Korea, Democratic People's Republic of"" ""P'yǒngyang"" 'customer end' 211
 list([]) 1 1 1459909]"
95,retailer,['Algeria' 'Souk Ahras' 'vendor' 262 list([]) 4 8 1196547]
96,retailer,['United Kingdom' 'Merton' 'distributer' 556 list([]) 5 1 1446269]
97,retailer,"['Chile' 'Aisén del General Carlos Ibañez del Campo' 'abroad' 309 list([])
 5 7 688060]"
98,retailer,['Ireland' 'Dublin' 'vendor' 129 list([]) 5 7 1510373]
99,retailer,"['Djibouti' 'Awbūk' 'distributer' 924
 list(['Healthcare Systems & Services']) 1 3 464028]"
100,retailer,['Oman' 'Shamāl al Bāţinah' 'distributer' 712 list([]) 4 8 273648]
101,retailer,"['French Guiana' 'Unknown' 'abroad' 817 list(['Aerospace & Defense']) 5 3
 1878523]"
102,retailer,['India' 'Manipur' 'customer end' 185 list([]) 3 6 1813466]
103,retailer,['Guatemala' 'Chimaltenango' 'vendor' 997 list([]) 3 2 439001]
104,retailer,['Lebanon' 'Bayrūt' 'vendor' 390 list([]) 5 4 1541808]
105,retailer,['Mali' 'Taoudénit' 'vendor' 163 list([]) 4 5 548122]
106,retailer,['Cambodia' 'Kampong Spueu' 'distributer' 860 list([]) 4 1 303166]
107,retailer,['Serbia' 'Zaječarski okrug' 'abroad' 248 list([]) 2 2 310912]
108,retailer,"[""Korea, Democratic People's Republic of"" 'Nampho' 'customer end' 676
 list(['Engineering, Construction & Building Materials']) 3 3 1357300]"
109,retailer,['Norway' 'Vestfold og Telemark' 'distributer' 268 list([]) 3 4 503646]
110,retailer,['Mexico' 'Baja California' 'abroad' 301 list([]) 3 3 1889514]
111,retailer,"['Oman' 'Shamāl al Bāţinah' 'customer end' 959
 list(['Aerospace & Defense']) 1 8 1650639]"
112,retailer,"[""Côte d'Ivoire"" 'Denguélé' 'distributer' 218
 list(['Automotive & Assembly']) 3 6 544883]"
113,retailer,"['Suriname' 'Wanica' 'abroad' 236
 list(['Aerospace & Defense', 'Paper, Forest Products & Packaging']) 1 1
 1747881]"
114,retailer,['Lithuania' 'Panevėžio miestas' 'distributer' 848 list([]) 2 7 29006]
115,retailer,['Réunion' 'Unknown' 'customer end' 464 list(['Oil & Gas']) 3 2 191216]
116,retailer,['Uruguay' 'Rocha' 'customer end' 478 list([]) 4 4 183792]
117,retailer,['Congo' 'Bouenza' 'customer end' 994 list(['Semiconductors']) 4 7 1140131]
118,retailer,"['Kenya' 'Embu' 'customer end' 675
 list(['Engineering, Construction & Building Materials']) 2 7 1715176]"
119,retailer,"['Turkmenistan' 'Balkan' 'customer end' 878 list(['Semiconductors']) 4 1
 525049]"
120,retailer,['Pitcairn' 'Unknown' 'distributer' 845 list([]) 3 6 260035]
121,retailer,['Barbados' 'Saint Michael' 'abroad' 632 list([]) 2 1 770439]
122,retailer,"['Cayman Islands' 'Unknown' 'distributer' 225 list(['Semiconductors']) 3 9
 351603]"
123,retailer,['Greenland' 'Kommuneqarfik Sermersooq' 'vendor' 943 list([]) 4 8 310122]
124,retailer,['Bhutan' 'Monggar' 'distributer' 835 list([]) 5 1 1826044]
125,retailer,['Mayotte' 'Unknown' 'customer end' 846 list([]) 1 7 1601112]
126,retailer,['Bermuda' 'Unknown' 'vendor' 747 list([]) 5 3 1890234]
127,retailer,['Cook Islands' 'Unknown' 'abroad' 445 list([]) 2 3 1534951]
128,retailer,['Finland' 'Etelä-Karjala' 'vendor' 888 list([]) 3 5 183016]
129,retailer,['Liberia' 'Margibi' 'vendor' 880 list([]) 1 5 1168243]
130,retailer,"['Uganda' 'Ntungamo' 'vendor' 832 list(['Advanced Electronics']) 2 6
 1104319]"
131,retailer,['Fiji' 'Rotuma' 'abroad' 703 list([]) 4 9 1607287]
132,retailer,['Mayotte' 'Unknown' 'abroad' 864 list([]) 3 7 1533329]
133,retailer,"['Botswana' 'Ghanzi' 'distributer' 961
 list(['Paper, Forest Products & Packaging']) 4 7 1771606]"
134,retailer,['Qatar' 'Ash Shamāl' 'distributer' 943 list([]) 1 9 181658]
135,retailer,['Paraguay' 'Misiones' 'customer end' 215 list([]) 5 1 1000569]
136,retailer,"['Bonaire, Sint Eustatius and Saba' 'Bonaire' 'vendor' 974 list([]) 5 9
 1992674]"
137,retailer,['Algeria' 'Djelfa' 'vendor' 800 list(['Financial Services']) 2 4 1323070]
138,retailer,"['Slovenia' 'Štore' 'abroad' 144
 list(['Private Equity & Principal Investors']) 4 3 131631]"
139,retailer,['Namibia' 'Kunene' 'customer end' 358 list([]) 4 8 1898070]
140,retailer,"['Guadeloupe' 'Unknown' 'abroad' 651
 list(['Aerospace & Defense', 'Semiconductors']) 2 1 309772]"
141,retailer,['Guinea' 'Lola' 'customer end' 609 list([]) 4 5 861244]
142,retailer,['Maldives' 'South Miladhunmadulu' 'distributer' 473 list([]) 5 7 527164]
143,retailer,['El Salvador' 'La Libertad' 'abroad' 849 list([]) 4 1 1286511]
144,retailer,['Montenegro' 'Rožaje' 'distributer' 191 list([]) 5 3 309798]
145,retailer,"['Ukraine' 'Chernihivska oblast' 'vendor' 987 list(['Financial Services'])
 4 8 1316087]"
146,retailer,['Haiti' 'Grandans' 'customer end' 295 list([]) 2 5 1686073]
147,retailer,"[""Lao People's Democratic Republic"" 'Viangchan' 'vendor' 450 list([]) 2 7
 1019346]"
148,retailer,['South Sudan' 'Lakes' 'customer end' 318 list([]) 4 6 716050]
149,retailer,['Cyprus' 'Ammochostos' 'distributer' 907 list([]) 3 5 284423]
150,supplier,"['Taylor PLC' ""Lao People's Democratic Republic"" 'Viangchan' 'Dollars'
 'Financial Services' 446 465.22 5565 48 597000000000.0]"
151,supplier,"['Sorrentino SPA' 'Mozambique' 'Gaza' 'Dollars' 'Real Estate' 533 8881.74
 1871 98 917000000000.0]"
152,supplier,"['Persico e figli' 'Saint Martin (French part)' 'Unknown' 'Dollars'
 'Paper, Forest Products & Packaging' 578 58.99 8611 9 698000000000.0]"
153,supplier,"['Karge OHG mbH' 'Brunei Darussalam' 'Belait' 'Dollars' 'Oil & Gas' 145
 3.35 4320 41 879000000000.0]"
154,supplier,"['Smith, Porter and Lynch' 'Palau' 'Ngatpang' 'Dollars'
 'Automotive & Assembly' 872 8.39 2090 78 605000000000.0]"
155,supplier,"['Mary Breton S.A.' 'Iran, Islamic Republic of' 'Āz̄ārbāyjān-e Shārqī'
 'Ngultrum' 'Life Sciences' 278 246.17 3731 28 671000000000.0]"
156,supplier,"['Renner' 'Guinea-Bissau' 'Sul' 'Dollars' 'Metals & Mining' 202 4.71 7360
 4 360000000000.0]"
157,supplier,"['Collins Inc' 'Czechia' 'Prachatice' 'Dollars' 'Advanced Electronics' 912
 6222.61 4121 74 432000000000.0]"
158,supplier,"['Lombard et Fils' 'Romania' 'Brașov' 'Dollars' 'Retail' 525 6.18 6336 86
 251000000000.0]"
159,supplier,"['Mattarella, Chiappetta e Farinelli Group' 'Monaco' 'Vallon de la Rousse'
 'Dollars' 'Public & Social Sector' 522 178.37 9266 91 960000000000.0]"
160,supplier,"['Agnesi-Donatoni e figli' 'Suriname' 'Paramaribo' 'Dollars' 'Oil & Gas'
 498 3.51 7503 23 288000000000.0]"
161,supplier,"['Marchand Salmon et Fils' 'Iceland' 'Rangárþing eystra' 'Dollars'
 'Technology, Media & Telecommunications' 706 450.56 8872 6 73010024548.0]"
162,supplier,"['Faust Gierschner GmbH & Co. KG' 'French Southern Territories' 'Unknown'
 'Dollars' 'Oil & Gas' 711 9.61 6063 42 496000000000.0]"
163,supplier,"['Müller' 'Antigua and Barbuda' 'Saint Peter' 'Dollars'
 'Technology, Media & Telecommunications' 920 4274.6 8637 93
 868000000000.0]"
164,supplier,"['Giulietti, Casaleggio e Nibali e figli' 'Lebanon' 'An Nabaţīyah'
 'Dollars' 'Metals & Mining' 794 40.52 9856 92 948000000000.0]"
165,supplier,"['Langern' 'Qatar' 'Umm Şalāl' 'Dollars'
 'Engineering, Construction & Building Materials' 344 1.14 1502 44
 437000000000.0]"
166,supplier,"['Ginesio-Majewski e figli' 'Marshall Islands' 'Likiep' 'Dollars'
 'Electric Power & Natural Gas' 362 650.1 6018 27 920000000000.0]"
167,supplier,"['Wong PLC' 'Russian Federation' 'Altajskij kraj' 'Dollars'
 'Technology, Media & Telecommunications' 337 4386.47 7968 79
 407000000000.0]"
168,supplier,"['Fischer' 'Saint Lucia' 'Choiseul' 'Dollars'
 'Electric Power & Natural Gas' 314 99.1 3207 94 991000000000.0]"
169,supplier,"['Tamburini-Endrizzi Group' 'Åland Islands' 'Unknown' 'Dollars'
 'Travel, Logistics & Infrastructure' 225 48.46 7592 69 943000000000.0]"
170,supplier,"['Bohnbach Schulz GmbH & Co. OHG' 'Brazil' 'Piauí' 'Dollars'
 'Electric Power & Natural Gas' 320 94.75 2613 43 762000000000.0]"
171,supplier,"['Ortmann Eigenwillig GbR' 'Cook Islands' 'Unknown' 'Dollars'
 'Technology, Media & Telecommunications' 630 936.91 8268 69
 778000000000.0]"
172,supplier,"['Daniels and Sons' 'French Southern Territories' 'Unknown' 'Dollars'
 'Retail' 531 48.35 3181 20 463000000000.0]"
173,supplier,"['Mastandrea, Faranda e Crispi SPA' 'Ecuador' 'Sucumbíos' 'Dollars'
 'Consumer Packaged Goods' 768 520.91 3030 32 576000000000.0]"
174,supplier,"['Parent Boulanger S.A.' 'Colombia' 'Cauca' 'Dollars'
 'Travel, Logistics & Infrastructure' 684 96.64 6011 59 90469483609.0]"
175,supplier,"['Lange GmbH' 'Algeria' 'Tamanrasset' 'Dollars'
 'Electric Power & Natural Gas' 935 9.31 7225 1 322000000000.0]"
176,supplier,"['Reynaud' 'Yemen' 'Ḩaḑramawt' 'Dollars' 'Chemicals' 813 3851.88 4098 53
 837000000000.0]"
177,supplier,"['Garcia-Garcia' 'Madagascar' 'Antsiranana' 'Dollars'
 'Electric Power & Natural Gas' 830 6.54 4668 93 247000000000.0]"
178,supplier,"['Couturier' 'Ireland' 'Louth' 'Dollars' 'Chemicals' 430 8920.61 2771 14
 593000000000.0]"
179,supplier,"['Devaux SARL' 'Georgia' 'Samtskhe-Javakheti' 'Dollars' 'Chemicals' 211
 395.56 6002 12 291000000000.0]"
180,supplier,"['Richard' 'Austria' 'Tirol' 'Dollars' 'Consumer Packaged Goods' 184 71.56
 4777 32 269000000000.0]"
181,supplier,"['Taylor, Rees and Burke' 'Samoa' ""Gaga'emauga"" 'Dollars'
 'Metals & Mining' 554 265.88 6696 55 734000000000.0]"
182,supplier,"['Legendre' 'Hungary' 'Kaposvár' 'Dollars' 'Public & Social Sector' 369
 9.33 1204 19 77674664573.0]"
183,supplier,"['Donati e figli' 'Djibouti' 'Ali Sabieh' 'Dollars' 'Education' 731 65.25
 6910 2 106000000000.0]"
184,supplier,"['Sanders-Yoder' 'Cook Islands' 'Unknown' 'Dollars'
 'Engineering, Construction & Building Materials' 358 126.5 1459 15
 85648381584.0]"
185,supplier,"['Boezio, Galvani e Mazzeo Group' 'Argentina' 'Neuquén' 'Dollars'
 'Agriculture' 429 548.43 2247 55 259000000000.0]"
186,supplier,"['Fisher-Wright' 'Chad' 'Madīnat Injamīnā' 'Dollars'
 'Public & Social Sector' 660 9348.77 7618 7 326000000000.0]"
187,supplier,"['Frazier-Snyder' 'Thailand' 'Kalasin' 'Dollars' 'Agriculture' 751 8462.13
 3844 16 219000000000.0]"
188,supplier,"['Bernini-Mascheroni s.r.l.' 'Japan' 'Fukui' 'Dollars'
 'Consumer Packaged Goods' 332 2.41 2230 52 916000000000.0]"
189,supplier,"['Niemeier Käster AG' 'Argentina' 'Santa Fe' 'Dollars' 'Retail' 227 1.5
 8102 89 754000000000.0]"
190,supplier,"['Garnier S.A.' 'France' 'Gironde' 'Dollars'
 'Engineering, Construction & Building Materials' 713 94.16 1244 92
 576000000000.0]"
191,supplier,"['Murray-Lowe' 'Jamaica' 'Saint Andrew' 'Dollars' 'Retail' 248 5077.25
 2848 41 13261847684.0]"
192,supplier,"['Loiseau' 'Indonesia' 'Jawa Tengah' 'Dollars'
 'Electric Power & Natural Gas' 263 7.49 4483 62 560000000000.0]"
193,supplier,"['Godard' 'United States Minor Outlying Islands' 'Wake Island' 'Dollars'
 'Healthcare Systems & Services' 382 518.82 7902 43 993000000000.0]"
194,supplier,"['Ajello, Pavanello e Vasari e figli' 'Afghanistan' 'Baghlān' 'Dollars'
 'Technology, Media & Telecommunications' 109 448.29 5809 97
 744000000000.0]"
195,supplier,"['Lange' 'Ghana' 'Bono' 'Dollars'
 'Engineering, Construction & Building Materials' 199 411.41 4001 24
 801000000000.0]"
196,supplier,"['Bourgeois Guillaume S.A.R.L.' 'Gabon' 'Nyanga' 'Dollars'
 'Electric Power & Natural Gas' 585 62.64 7382 57 871000000000.0]"
197,supplier,"['Legros' 'Chad' 'Borkou' 'Dollars' 'Life Sciences' 505 423.94 5206 90
 534000000000.0]"
198,supplier,"['Calvo-Satriani e figli' 'Bahamas' 'Spanish Wells' 'Dollars'
 'Semiconductors' 212 1080.19 2108 97 425000000000.0]"
199,supplier,"['Parker, Golden and Vasquez' 'Tonga' ""Ha'apai"" 'Dollars'
 'Travel, Logistics & Infrastructure' 958 285.39 6012 71 372000000000.0]"
200,supplier,"['Hale-Robinson' 'Sint Maarten (Dutch part)' 'Unknown' 'Dollars'
 'Consumer Packaged Goods' 143 67.7 9620 67 737000000000.0]"
201,supplier,"['Thanel Schlosser AG & Co. KG' 'American Samoa' 'Unknown' 'Dollars'
 'Private Equity & Principal Investors' 666 8.58 6375 52 564000000000.0]"
202,supplier,"['Phillips and Sons' 'Argentina' 'Tierra del Fuego' 'Dollars'
 'Aerospace & Defense' 682 5.35 3930 33 321000000000.0]"
203,supplier,"['Campbell LLC' 'Antigua and Barbuda' 'Saint Philip' 'Dollars' 'Retail'
 911 6854.47 7625 4 972000000000.0]"
204,supplier,"['Williams-Carter' 'Seychelles' 'Au Cap' 'Dollars'
 'Private Equity & Principal Investors' 200 73.33 5919 65 726000000000.0]"
205,supplier,"['Schinke' 'Saint Pierre and Miquelon' 'Unknown' 'Dollars' 'Retail' 568
 7.65 5517 77 96739764422.0]"
206,supplier,"['Santoro-Bignami SPA' 'Belize' 'Belize' 'Dollars' 'Oil & Gas' 569 20.98
 5075 26 98321109644.0]"
207,supplier,"['Copeland, Briggs and Taylor' 'French Guiana' 'Unknown' 'Dollars'
 'Real Estate' 133 464.75 1036 1 987000000000.0]"
208,supplier,"['Röhrdanz AG & Co. KG' 'Zambia' 'North-Western' 'Dollars'
 'Public & Social Sector' 123 317.36 6687 88 562000000000.0]"
209,supplier,"['Simon Dijoux SA' 'French Guiana' 'Unknown' 'Dollars'
 'Aerospace & Defense' 956 7.48 4612 30 294000000000.0]"
210,supplier,"['Tonisto s.r.l.' 'Niue' 'Unknown' 'Dollars' 'Life Sciences' 221 5396.52
 6068 65 215000000000.0]"
211,supplier,"['Bishop Ltd' 'Italy' 'Marche' 'Dollars' 'Metals & Mining' 455 8.57 8447
 51 240000000000.0]"
212,supplier,"['Hammond Inc' 'Netherlands' 'Saba' 'Dollars' 'Real Estate' 762 40.24 5322
 77 534000000000.0]"
213,supplier,"['Giorgetti-Rossetti SPA' 'Equatorial Guinea' 'Bioko Sud' 'Dollars'
 'Technology, Media & Telecommunications' 269 180.97 8566 46
 358000000000.0]"
214,supplier,"['Köster Walter GmbH & Co. KGaA' 'Niger' 'Diffa' 'Dollars' 'Real Estate'
 751 3.8 2347 12 65711062011.0]"
215,supplier,"['Gray, Walsh and Martin' 'Bouvet Island' 'Unknown' 'Dollars'
 'Agriculture' 359 506.12 1114 16 181000000000.0]"
216,supplier,"['John PLC' 'Benin' 'Alibori' 'Dollars' 'Public & Social Sector' 514 90.57
 5223 37 559000000000.0]"
217,supplier,"['Martin, Ross and Doyle' 'Gabon' 'Ogooué-Maritime' 'Dollars'
 'Advanced Electronics' 596 168.81 7106 97 827000000000.0]"
218,supplier,"['Baglioni e figli' 'Bolivia, Plurinational State of' 'Pando' 'Dollars'
 'Semiconductors' 443 50.79 5317 68 852000000000.0]"
219,supplier,"['Humbert et Fils' 'Holy See (Vatican City State)' 'Unknown' 'Dollars'
 'Financial Services' 392 9626.27 8629 3 286000000000.0]"
220,supplier,"['Dörschner Naser GmbH' 'Bonaire, Sint Eustatius and Saba' 'Saba'
 'Dollars' 'Healthcare Systems & Services' 195 649.86 6139 64
 854000000000.0]"
221,supplier,"['Whitehead, Morris and Chan' 'Somalia' 'Shabeellaha Hoose' 'Dollars'
 'Education' 745 35.61 9702 40 56583264482.0]"
222,supplier,"['Parsons-Miles' 'Saint Barthélemy' 'Unknown' 'Dollars'
 'Aerospace & Defense' 949 76.43 6981 86 89700080724.0]"
223,supplier,"['Brown Group' 'Wallis and Futuna' 'Alo' 'Dollars' 'Financial Services'
 814 4.51 4480 49 319000000000.0]"
224,supplier,"['Davis LLC' 'Marshall Islands' 'Enewetak & Ujelang' 'Dollars'
 'Automotive & Assembly' 582 756.6 8797 3 181000000000.0]"
225,supplier,"['Eco s.r.l.' 'Bouvet Island' 'Unknown' 'Dollars' 'Aerospace & Defense'
 276 4.17 6658 69 345000000000.0]"
226,supplier,"['Argan-Montesano Group' 'Grenada' 'Saint George' 'Dollars'
 'Consumer Packaged Goods' 982 53.66 4186 17 31804971061.0]"
227,supplier,"['Le Roux Faure et Fils' 'Kuwait' 'Al ‘Āşimah' 'Dollars' 'Chemicals' 885
 51.31 5063 54 597000000000.0]"
228,supplier,"['Lebon S.A.R.L.' 'Australia' 'Queensland' 'Dollars' 'Agriculture' 616
 350.95 9886 69 820000000000.0]"
229,supplier,"['Gröttner Stahr KG' 'Saint Vincent and the Grenadines' 'Saint David'
 'Dollars' 'Advanced Electronics' 981 781.93 2736 92 154000000000.0]"
230,supplier,"['Fantoni-Pareto SPA' 'Eritrea' 'Debubawi K’eyyĭḥ Baḥri' 'Dollars'
 'Semiconductors' 687 5786.51 5156 97 222000000000.0]"
231,supplier,"['Schacht KGaA' 'Argentina' 'La Pampa' 'Dollars'
 'Electric Power & Natural Gas' 565 122.57 7540 14 369000000000.0]"
232,supplier,"['Ferrand Lefebvre SARL' 'Saint Vincent and the Grenadines' 'Saint David'
 'Dollars' 'Advanced Electronics' 397 98.99 7296 100 445000000000.0]"
