,From,To,From_Table,To_Table,Weight,Distance,Duration,Rental price,price,profit_margin (%),Annual_sales,Edge_Name,market_share (%)
258,490,1729,Supplier,Internaltransactions,538,0,0,0,0,0,0,internaltransactions,
259,1729,553,Internaltransactions,Supplier,563,0,0,0,0,0,5.84,internaltransactions,89.0
260,462,1730,Supplier,Internaltransactions,563,0,0,0,0,0,0,internaltransactions,
261,1730,438,Internaltransactions,Supplier,573,0,0,0,0,0,1.49,internaltransactions,4.0
262,527,1731,Supplier,Internaltransactions,573,0,0,0,0,0,0,internaltransactions,
263,1731,567,Internaltransactions,Supplier,583,0,0,0,0,0,8.58,internaltransactions,48.0
264,419,1732,Supplier,Internaltransactions,583,0,0,0,0,0,0,internaltransactions,
265,1732,319,Internaltransactions,Supplier,608,0,0,0,0,0,48.46,internaltransactions,69.0
266,525,1733,Supplier,Internaltransactions,608,0,0,0,0,0,0,internaltransactions,
267,1733,458,Internaltransactions,Supplier,618,0,0,0,0,0,31.2,internaltransactions,2.0
268,470,1734,Supplier,Internaltransactions,618,0,0,0,0,0,0,internaltransactions,
269,1734,569,Internaltransactions,Supplier,633,0,0,0,0,0,1141.39,internaltransactions,30.0
270,389,1735,Supplier,Internaltransactions,633,0,0,0,0,0,0,internaltransactions,
271,1735,559,Internaltransactions,Supplier,658,0,0,0,0,0,19.24,internaltransactions,96.0
272,475,1736,Supplier,Internaltransactions,658,0,0,0,0,0,0,internaltransactions,
273,1736,330,Internaltransactions,Supplier,668,0,0,0,0,0,71.56,internaltransactions,32.0
274,490,1737,Supplier,Internaltransactions,668,0,0,0,0,0,0,internaltransactions,
275,1737,509,Internaltransactions,Supplier,693,0,0,0,0,0,9.89,internaltransactions,60.0
276,531,1738,Supplier,Internaltransactions,693,0,0,0,0,0,0,internaltransactions,
277,1738,580,Internaltransactions,Supplier,703,0,0,0,0,0,7.38,internaltransactions,25.0
278,543,1739,Supplier,Internaltransactions,703,0,0,0,0,0,0,internaltransactions,
279,1739,484,Internaltransactions,Supplier,728,0,0,0,0,0,658.93,internaltransactions,100.0
280,341,1740,Supplier,Internaltransactions,728,0,0,0,0,0,0,internaltransactions,
281,1740,352,Internaltransactions,Supplier,738,0,0,0,0,0,5.35,internaltransactions,33.0
282,433,1741,Supplier,Internaltransactions,738,0,0,0,0,0,0,internaltransactions,
283,1741,419,Internaltransactions,Supplier,753,0,0,0,0,0,943.46,internaltransactions,41.0
284,596,1742,Supplier,Internaltransactions,753,0,0,0,0,0,0,internaltransactions,
285,1742,311,Internaltransactions,Supplier,763,0,0,0,0,0,450.56,internaltransactions,6.0
286,593,1743,Supplier,Internaltransactions,763,0,0,0,0,0,0,internaltransactions,
287,1743,484,Internaltransactions,Supplier,788,0,0,0,0,0,658.93,internaltransactions,100.0
288,475,1744,Supplier,Internaltransactions,788,0,0,0,0,0,0,internaltransactions,
289,1744,562,Internaltransactions,Supplier,798,0,0,0,0,0,64.96,internaltransactions,49.0
290,414,1745,Supplier,Internaltransactions,798,0,0,0,0,0,0,internaltransactions,
291,1745,403,Internaltransactions,Supplier,808,0,0,0,0,0,1.33,internaltransactions,13.0
292,343,1746,Supplier,Internaltransactions,808,0,0,0,0,0,0,internaltransactions,
293,1746,367,Internaltransactions,Supplier,833,0,0,0,0,0,168.81,internaltransactions,97.0
294,533,1747,Supplier,Internaltransactions,833,0,0,0,0,0,0,internaltransactions,
295,1747,458,Internaltransactions,Supplier,843,0,0,0,0,0,31.2,internaltransactions,2.0
296,406,1748,Supplier,Internaltransactions,843,0,0,0,0,0,0,internaltransactions,
297,1748,527,Internaltransactions,Supplier,853,0,0,0,0,0,6.18,internaltransactions,16.0
298,540,1749,Supplier,Internaltransactions,853,0,0,0,0,0,0,internaltransactions,
299,1749,330,Internaltransactions,Supplier,863,0,0,0,0,0,71.56,internaltransactions,32.0
300,488,1750,Supplier,Internaltransactions,863,0,0,0,0,0,0,internaltransactions,
301,1750,379,Internaltransactions,Supplier,888,0,0,0,0,0,781.93,internaltransactions,92.0
302,405,1751,Supplier,Internaltransactions,888,0,0,0,0,0,0,internaltransactions,
303,1751,350,Internaltransactions,Supplier,913,0,0,0,0,0,67.7,internaltransactions,67.0
304,559,1752,Supplier,Internaltransactions,913,0,0,0,0,0,0,internaltransactions,
305,1752,330,Internaltransactions,Supplier,923,0,0,0,0,0,71.56,internaltransactions,32.0
306,423,1753,Supplier,Internaltransactions,923,0,0,0,0,0,0,internaltransactions,
307,1753,352,Internaltransactions,Supplier,933,0,0,0,0,0,5.35,internaltransactions,33.0
308,330,1754,Supplier,Internaltransactions,933,0,0,0,0,0,0,internaltransactions,
309,1754,341,Internaltransactions,Supplier,948,0,0,0,0,0,5077.25,internaltransactions,41.0
310,381,1755,Supplier,Internaltransactions,948,0,0,0,0,0,0,internaltransactions,
311,1755,575,Internaltransactions,Supplier,978,0,0,0,0,0,5954.35,internaltransactions,63.0
312,372,1756,Supplier,Internaltransactions,978,0,0,0,0,0,0,internaltransactions,
313,1756,488,Internaltransactions,Supplier,993,0,0,0,0,0,3096.12,internaltransactions,40.0
314,367,1757,Supplier,Internaltransactions,993,0,0,0,0,0,0,internaltransactions,
315,1757,546,Internaltransactions,Supplier,1018,0,0,0,0,0,29.23,internaltransactions,70.0
316,411,1758,Supplier,Internaltransactions,1018,0,0,0,0,0,0,internaltransactions,
317,1758,330,Internaltransactions,Supplier,1028,0,0,0,0,0,71.56,internaltransactions,32.0
318,569,1759,Supplier,Internaltransactions,1028,0,0,0,0,0,0,internaltransactions,
319,1759,311,Internaltransactions,Supplier,1038,0,0,0,0,0,450.56,internaltransactions,6.0
320,525,1760,Supplier,Internaltransactions,1038,0,0,0,0,0,0,internaltransactions,
321,1760,303,Internaltransactions,Supplier,1048,0,0,0,0,0,3.35,internaltransactions,41.0
322,330,1761,Supplier,Internaltransactions,1048,0,0,0,0,0,0,internaltransactions,
323,1761,523,Internaltransactions,Supplier,1078,0,0,0,0,0,5862.41,internaltransactions,79.0
