,name,followers
175,Supplier 59027,10.0
176,Supplier 59005,10.0
177,Supplier 58914,10.0
178,Supplier 58421,10.0
179,Supplier 58199,10.0
180,Supplier 58047,10.0
181,Supplier 57453,10.0
182,Supplier 57265,10.0
183,Supplier 57113,10.0
184,Supplier 56429,10.0
185,Supplier 56382,10.0
186,Supplier 55714,10.0
187,Supplier 55648,10.0
188,Supplier 55515,10.0
189,Supplier 54953,10.0
190,Supplier 54921,10.0
191,Supplier 54218,10.0
192,Supplier 53699,10.0
193,Supplier 52578,10.0
194,Supplier 52544,10.0
195,Supplier 52160,10.0
196,Supplier 52130,10.0
197,Supplier 51207,10.0
198,Supplier 50099,10.0
199,Supplier 49681,10.0
200,Supplier 48251,10.0
201,Supplier 47804,10.0
202,Supplier 47789,10.0
203,Supplier 47339,10.0
204,Supplier 47093,10.0
205,Supplier 47070,10.0
206,Supplier 47017,10.0
207,Supplier 46995,10.0
208,Supplier 46676,10.0
209,Supplier 46615,10.0
210,Supplier 45056,10.0
211,Supplier 44351,10.0
212,Supplier 42191,10.0
213,Supplier 42118,10.0
214,Supplier 42065,10.0
215,Supplier 41898,10.0
216,Supplier 41542,10.0
217,Supplier 41112,10.0
218,Supplier 41099,10.0
219,Supplier 40868,10.0
220,Supplier 40125,10.0
221,Supplier 39402,10.0
222,Supplier 39180,10.0
223,Supplier 38957,10.0
224,Supplier 38461,10.0
225,Supplier 38265,10.0
226,Supplier 35703,10.0
227,Supplier 35340,10.0
228,Supplier 34582,10.0
229,Supplier 34258,10.0
230,Supplier 33368,10.0
231,Supplier 33037,10.0
232,Supplier 32829,10.0
233,Supplier 31934,10.0
234,Supplier 31532,10.0
235,Supplier 30890,10.0
236,Supplier 30764,10.0
237,Supplier 29946,10.0
238,Supplier 29604,10.0
239,Supplier 29196,10.0
240,Supplier 29185,10.0
241,Supplier 28515,10.0
242,Supplier 27988,10.0
243,Supplier 27896,10.0
244,Supplier 27880,10.0
245,Supplier 27813,10.0
246,Supplier 27107,10.0
247,Supplier 26090,10.0
248,Supplier 25648,10.0
249,Supplier 25563,10.0
250,Supplier 25123,10.0
251,Supplier 24741,10.0
252,Supplier 24401,10.0
253,Supplier 23557,10.0
254,Supplier 23083,10.0
255,Supplier 22560,10.0
256,Supplier 21726,10.0
257,Supplier 21602,10.0
258,Supplier 19974,10.0
259,Supplier 18997,10.0
260,Supplier 18262,10.0
261,Supplier 18141,10.0
262,Supplier 17977,10.0
263,Supplier 16601,10.0
264,Supplier 16082,10.0
265,Supplier 14522,10.0
266,Supplier 13901,10.0
267,Supplier 13889,10.0
268,Supplier 13569,10.0
269,Supplier 13540,10.0
270,Supplier 13355,10.0
271,Supplier 12748,10.0
272,Supplier 12548,10.0
273,Supplier 12547,10.0
274,Supplier 12435,10.0
275,Supplier 12179,10.0
276,Supplier 12116,10.0
277,Supplier 11770,10.0
278,Supplier 11513,10.0
279,Supplier 10797,10.0
280,Supplier 10753,10.0
281,Warehouses 7377,9.0
282,Supplier 86815,9.0
283,Supplier 57551,9.0
284,Supplier 48238,9.0
285,Supplier 28873,9.0
286,Supplier 20226,9.0
287,Warehouses 9023,8.0
288,Warehouses 8344,8.0
289,Warehouses 6161,8.0
290,Warehouses 4876,8.0
291,Warehouses 2728,8.0
292,Warehouses 2252,8.0
293,Warehouses 2091,8.0
294,Supplier 91465,8.0
295,Supplier 71056,8.0
296,Supplier 68240,8.0
297,Supplier 58976,8.0
298,Supplier 28042,8.0
299,Warehouses 9867,7.0
300,Warehouses 7618,7.0
301,Warehouses 7339,7.0
302,Warehouses 7158,7.0
303,Warehouses 5383,7.0
304,Warehouses 5241,7.0
305,Warehouses 4728,7.0
306,Warehouses 3176,7.0
307,Warehouses 2930,7.0
308,Warehouses 2843,7.0
309,Warehouses 1623,7.0
310,Supplier 89467,7.0
311,Supplier 85240,7.0
312,Supplier 70050,7.0
313,Supplier 56104,7.0
314,Supplier 52647,7.0
315,Supplier 35266,7.0
316,Warehouses 9975,6.0
317,Warehouses 9970,6.0
318,Warehouses 9888,6.0
319,Warehouses 9610,6.0
320,Warehouses 9388,6.0
321,Warehouses 9387,6.0
322,Warehouses 9272,6.0
323,Warehouses 9233,6.0
324,Warehouses 8490,6.0
325,Warehouses 8327,6.0
326,Warehouses 7878,6.0
327,Warehouses 7483,6.0
328,Warehouses 7400,6.0
329,Warehouses 7196,6.0
330,Warehouses 7033,6.0
331,Warehouses 6881,6.0
332,Warehouses 6641,6.0
333,Warehouses 5456,6.0
334,Warehouses 4650,6.0
335,Warehouses 4649,6.0
336,Warehouses 4501,6.0
337,Warehouses 4197,6.0
338,Warehouses 4142,6.0
339,Warehouses 3401,6.0
340,Warehouses 3267,6.0
341,Warehouses 3094,6.0
342,Warehouses 2891,6.0
343,Warehouses 2805,6.0
344,Warehouses 2238,6.0
345,Warehouses 2231,6.0
346,Warehouses 1754,6.0
347,Warehouses 1169,6.0
348,Warehouses 1034,6.0
349,Supplier 68615,6.0
350,Warehouses 9996,5.0
351,Warehouses 9926,5.0
352,Warehouses 9772,5.0
353,Warehouses 9733,5.0
354,Warehouses 9596,5.0
355,Warehouses 9582,5.0
356,Warehouses 9565,5.0
357,Warehouses 9304,5.0
358,Warehouses 9174,5.0
359,Warehouses 8950,5.0
360,Warehouses 8858,5.0
361,Warehouses 8848,5.0
362,Warehouses 8732,5.0
363,Warehouses 8563,5.0
364,Warehouses 8488,5.0
365,Warehouses 8399,5.0
366,Warehouses 8117,5.0
367,Warehouses 7953,5.0
368,Warehouses 7808,5.0
369,Warehouses 7611,5.0
370,Warehouses 7451,5.0
371,Warehouses 7347,5.0
372,Warehouses 7334,5.0
373,Warehouses 7237,5.0
374,Warehouses 7103,5.0
375,Warehouses 7038,5.0
376,Warehouses 6928,5.0
377,Warehouses 6869,5.0
378,Warehouses 6764,5.0
379,Warehouses 6722,5.0
380,Warehouses 6607,5.0
381,Warehouses 6544,5.0
382,Warehouses 6541,5.0
383,Warehouses 6482,5.0
384,Warehouses 6362,5.0
385,Warehouses 6349,5.0
386,Warehouses 6277,5.0
387,Warehouses 6100,5.0
388,Warehouses 5886,5.0
389,Warehouses 5812,5.0
390,Warehouses 5690,5.0
391,Warehouses 5616,5.0
392,Warehouses 5498,5.0
393,Warehouses 5418,5.0
394,Warehouses 5326,5.0
395,Warehouses 5294,5.0
396,Warehouses 4823,5.0
397,Warehouses 4785,5.0
398,Warehouses 4730,5.0
399,Warehouses 4698,5.0
400,Warehouses 4693,5.0
401,Warehouses 4657,5.0
402,Warehouses 4607,5.0
403,Warehouses 4604,5.0
404,Warehouses 4517,5.0
405,Warehouses 4499,5.0
406,Warehouses 4496,5.0
407,Warehouses 4421,5.0
408,Warehouses 4415,5.0
409,Warehouses 4247,5.0
410,Warehouses 4213,5.0
411,Warehouses 4204,5.0
412,Warehouses 4099,5.0
413,Warehouses 4065,5.0
414,Warehouses 4045,5.0
415,Warehouses 4027,5.0
416,Warehouses 4014,5.0
417,Warehouses 3871,5.0
418,Warehouses 3853,5.0
419,Warehouses 3661,5.0
420,Warehouses 3613,5.0
421,Warehouses 3118,5.0
422,Warehouses 3075,5.0
423,Warehouses 2970,5.0
424,Warehouses 2936,5.0
425,Warehouses 2855,5.0
426,Warehouses 2797,5.0
427,Warehouses 2729,5.0
428,Warehouses 2666,5.0
429,Warehouses 2441,5.0
430,Warehouses 2266,5.0
431,Warehouses 2125,5.0
432,Warehouses 2116,5.0
433,Warehouses 1992,5.0
434,Warehouses 1969,5.0
435,Warehouses 1835,5.0
436,Warehouses 1817,5.0
437,Warehouses 1810,5.0
438,Warehouses 1756,5.0
439,Warehouses 1603,5.0
440,Warehouses 1482,5.0
441,Warehouses 1442,5.0
442,Warehouses 1429,5.0
443,Warehouses 1245,5.0
444,Supplier 86580,5.0
445,Warehouses 9949,4.0
446,Warehouses 9941,4.0
447,Warehouses 9781,4.0
448,Warehouses 9759,4.0
449,Warehouses 9753,4.0
450,Warehouses 9613,4.0
451,Warehouses 9611,4.0
452,Warehouses 9451,4.0
453,Warehouses 9426,4.0
454,Warehouses 9423,4.0
455,Warehouses 9313,4.0
456,Warehouses 9247,4.0
457,Warehouses 9241,4.0
458,Warehouses 9235,4.0
459,Warehouses 9224,4.0
460,Warehouses 9115,4.0
461,Warehouses 9084,4.0
462,Warehouses 9033,4.0
463,Warehouses 8978,4.0
464,Warehouses 8892,4.0
465,Warehouses 8671,4.0
466,Warehouses 8359,4.0
467,Warehouses 8354,4.0
468,Warehouses 8349,4.0
469,Warehouses 8299,4.0
470,Warehouses 8183,4.0
471,Warehouses 8035,4.0
472,Warehouses 7950,4.0
473,Warehouses 7940,4.0
474,Warehouses 7898,4.0
475,Warehouses 7888,4.0
476,Warehouses 7848,4.0
477,Warehouses 7840,4.0
478,Warehouses 7794,4.0
479,Warehouses 7780,4.0
480,Warehouses 7763,4.0
481,Warehouses 7727,4.0
482,Warehouses 7709,4.0
483,Warehouses 7567,4.0
484,Warehouses 7548,4.0
485,Warehouses 7525,4.0
486,Warehouses 7498,4.0
487,Warehouses 7486,4.0
488,Warehouses 7248,4.0
489,Warehouses 7185,4.0
490,Warehouses 7094,4.0
491,Warehouses 7093,4.0
492,Warehouses 7070,4.0
493,Warehouses 7068,4.0
494,Warehouses 6898,4.0
495,Warehouses 6895,4.0
496,Warehouses 6840,4.0
497,Warehouses 6833,4.0
498,Warehouses 6787,4.0
499,Warehouses 6626,4.0
500,Warehouses 6507,4.0
501,Warehouses 6420,4.0
502,Warehouses 6406,4.0
503,Warehouses 6405,4.0
504,Warehouses 6299,4.0
505,Warehouses 6229,4.0
506,Warehouses 6173,4.0
507,Warehouses 6142,4.0
508,Warehouses 6110,4.0
509,Warehouses 6052,4.0
510,Warehouses 6016,4.0
511,Warehouses 5977,4.0
512,Warehouses 5970,4.0
513,Warehouses 5966,4.0
514,Warehouses 5842,4.0
515,Warehouses 5820,4.0
516,Warehouses 5819,4.0
517,Warehouses 5688,4.0
518,Warehouses 5569,4.0
519,Warehouses 5472,4.0
520,Warehouses 5464,4.0
521,Warehouses 5424,4.0
522,Warehouses 5381,4.0
523,Warehouses 5337,4.0
524,Warehouses 5330,4.0
525,Warehouses 5297,4.0
526,Warehouses 5256,4.0
527,Warehouses 5236,4.0
528,Warehouses 5094,4.0
529,Warehouses 5071,4.0
530,Warehouses 5013,4.0
531,Warehouses 5004,4.0
532,Warehouses 4939,4.0
533,Warehouses 4895,4.0
534,Warehouses 4817,4.0
535,Warehouses 4792,4.0
536,Warehouses 4786,4.0
537,Warehouses 4571,4.0
538,Warehouses 4428,4.0
539,Warehouses 4420,4.0
540,Warehouses 4412,4.0
541,Warehouses 4411,4.0
542,Warehouses 4408,4.0
543,Warehouses 4397,4.0
544,Warehouses 4319,4.0
545,Warehouses 4293,4.0
546,Warehouses 4254,4.0
547,Warehouses 4249,4.0
548,Warehouses 4218,4.0
549,Warehouses 4167,4.0
550,Warehouses 4095,4.0
551,Warehouses 4094,4.0
552,Warehouses 4093,4.0
553,Warehouses 4047,4.0
554,Warehouses 4041,4.0
555,Warehouses 3972,4.0
556,Warehouses 3893,4.0
557,Warehouses 3882,4.0
558,Warehouses 3856,4.0
559,Warehouses 3855,4.0
560,Warehouses 3841,4.0
561,Warehouses 3773,4.0
562,Warehouses 3692,4.0
563,Warehouses 3640,4.0
564,Warehouses 3638,4.0
565,Warehouses 3609,4.0
566,Warehouses 3600,4.0
567,Warehouses 3573,4.0
568,Warehouses 3456,4.0
569,Warehouses 3412,4.0
570,Warehouses 3259,4.0
571,Warehouses 3221,4.0
572,Warehouses 3069,4.0
573,Warehouses 3031,4.0
574,Warehouses 3002,4.0
575,Warehouses 2991,4.0
576,Warehouses 2969,4.0
577,Warehouses 2894,4.0
578,Warehouses 2882,4.0
579,Warehouses 2822,4.0
580,Warehouses 2816,4.0
581,Warehouses 2815,4.0
582,Warehouses 2798,4.0
583,Warehouses 2730,4.0
584,Warehouses 2683,4.0
585,Warehouses 2644,4.0
586,Warehouses 2454,4.0
587,Warehouses 2356,4.0
588,Warehouses 2329,4.0
589,Warehouses 2301,4.0
590,Warehouses 2294,4.0
591,Warehouses 2244,4.0
592,Warehouses 2077,4.0
593,Warehouses 2061,4.0
594,Warehouses 2033,4.0
595,Warehouses 1938,4.0
596,Warehouses 1784,4.0
597,Warehouses 1565,4.0
598,Warehouses 1538,4.0
599,Warehouses 1526,4.0
600,Warehouses 1469,4.0
601,Warehouses 1443,4.0
602,Warehouses 1417,4.0
603,Warehouses 1285,4.0
604,Warehouses 1279,4.0
605,Warehouses 1274,4.0
606,Warehouses 1249,4.0
607,Warehouses 1205,4.0
608,Warehouses 1141,4.0
609,Warehouses 1064,4.0
610,Supplier 79389,4.0
611,Retailer 83982,4.0
612,Retailer 31857,4.0
613,Warehouses 9988,3.0
614,Warehouses 9830,3.0
615,Warehouses 9825,3.0
616,Warehouses 9721,3.0
617,Warehouses 9717,3.0
618,Warehouses 9625,3.0
619,Warehouses 9615,3.0
620,Warehouses 9603,3.0
621,Warehouses 9563,3.0
622,Warehouses 9515,3.0
623,Warehouses 9510,3.0
624,Warehouses 9509,3.0
625,Warehouses 9471,3.0
626,Warehouses 9408,3.0
627,Warehouses 9184,3.0
628,Warehouses 9167,3.0
629,Warehouses 9054,3.0
630,Warehouses 9043,3.0
631,Warehouses 9042,3.0
632,Warehouses 9030,3.0
633,Warehouses 8949,3.0
634,Warehouses 8862,3.0
635,Warehouses 8836,3.0
636,Warehouses 8786,3.0
637,Warehouses 8748,3.0
638,Warehouses 8717,3.0
639,Warehouses 8635,3.0
640,Warehouses 8614,3.0
641,Warehouses 8522,3.0
642,Warehouses 8484,3.0
643,Warehouses 8412,3.0
644,Warehouses 8389,3.0
645,Warehouses 8332,3.0
646,Warehouses 8231,3.0
647,Warehouses 8187,3.0
648,Warehouses 8169,3.0
649,Warehouses 8096,3.0
650,Warehouses 8094,3.0
651,Warehouses 7992,3.0
652,Warehouses 7982,3.0
653,Warehouses 7965,3.0
654,Warehouses 7926,3.0
655,Warehouses 7845,3.0
656,Warehouses 7839,3.0
657,Warehouses 7751,3.0
658,Warehouses 7721,3.0
659,Warehouses 7685,3.0
660,Warehouses 7663,3.0
661,Warehouses 7634,3.0
662,Warehouses 7571,3.0
663,Warehouses 7550,3.0
664,Warehouses 7466,3.0
665,Warehouses 7465,3.0
666,Warehouses 7461,3.0
667,Warehouses 7425,3.0
668,Warehouses 7418,3.0
669,Warehouses 7408,3.0
670,Warehouses 7352,3.0
671,Warehouses 7329,3.0
672,Warehouses 7306,3.0
673,Warehouses 7210,3.0
674,Warehouses 7123,3.0
675,Warehouses 7117,3.0
676,Warehouses 7064,3.0
677,Warehouses 7043,3.0
678,Warehouses 7024,3.0
679,Warehouses 7016,3.0
680,Warehouses 6980,3.0
681,Warehouses 6915,3.0
682,Warehouses 6853,3.0
683,Warehouses 6770,3.0
684,Warehouses 6731,3.0
685,Warehouses 6694,3.0
686,Warehouses 6660,3.0
687,Warehouses 6434,3.0
688,Warehouses 6379,3.0
689,Warehouses 6326,3.0
690,Warehouses 6317,3.0
691,Warehouses 6307,3.0
692,Warehouses 6206,3.0
693,Warehouses 6205,3.0
694,Warehouses 6200,3.0
695,Warehouses 6198,3.0
696,Warehouses 6184,3.0
697,Warehouses 6165,3.0
698,Warehouses 6164,3.0
699,Warehouses 6063,3.0
700,Warehouses 6062,3.0
701,Warehouses 6034,3.0
702,Warehouses 5919,3.0
703,Warehouses 5854,3.0
704,Warehouses 5802,3.0
705,Warehouses 5742,3.0
706,Warehouses 5736,3.0
707,Warehouses 5672,3.0
708,Warehouses 5608,3.0
709,Warehouses 5597,3.0
710,Warehouses 5596,3.0
711,Warehouses 5515,3.0
712,Warehouses 5492,3.0
713,Warehouses 5395,3.0
714,Warehouses 5355,3.0
715,Warehouses 5299,3.0
716,Warehouses 5286,3.0
717,Warehouses 5253,3.0
718,Warehouses 5177,3.0
719,Warehouses 5170,3.0
720,Warehouses 5143,3.0
721,Warehouses 5127,3.0
722,Warehouses 5084,3.0
723,Warehouses 5030,3.0
724,Warehouses 5025,3.0
725,Warehouses 4963,3.0
726,Warehouses 4956,3.0
727,Warehouses 4782,3.0
728,Warehouses 4773,3.0
729,Warehouses 4744,3.0
730,Warehouses 4701,3.0
731,Warehouses 4695,3.0
732,Warehouses 4622,3.0
733,Warehouses 4537,3.0
734,Warehouses 4515,3.0
735,Warehouses 4427,3.0
736,Warehouses 4406,3.0
737,Warehouses 4400,3.0
738,Warehouses 4390,3.0
739,Warehouses 4374,3.0
740,Warehouses 4371,3.0
741,Warehouses 4325,3.0
742,Warehouses 4237,3.0
743,Warehouses 4234,3.0
744,Warehouses 4232,3.0
745,Warehouses 4210,3.0
746,Warehouses 4208,3.0
747,Warehouses 4182,3.0
748,Warehouses 4175,3.0
749,Warehouses 4127,3.0
750,Warehouses 4087,3.0
751,Warehouses 3998,3.0
752,Warehouses 3994,3.0
753,Warehouses 3990,3.0
754,Warehouses 3865,3.0
755,Warehouses 3766,3.0
756,Warehouses 3688,3.0
757,Warehouses 3630,3.0
758,Warehouses 3591,3.0
759,Warehouses 3553,3.0
760,Warehouses 3539,3.0
761,Warehouses 3525,3.0
762,Warehouses 3514,3.0
763,Warehouses 3468,3.0
764,Warehouses 3452,3.0
765,Warehouses 3427,3.0
766,Warehouses 3377,3.0
767,Warehouses 3276,3.0
768,Warehouses 3225,3.0
769,Warehouses 3158,3.0
770,Warehouses 3138,3.0
771,Warehouses 3108,3.0
772,Warehouses 3046,3.0
773,Warehouses 3044,3.0
774,Warehouses 2865,3.0
775,Warehouses 2764,3.0
776,Warehouses 2708,3.0
777,Warehouses 2664,3.0
778,Warehouses 2553,3.0
779,Warehouses 2524,3.0
780,Warehouses 2481,3.0
781,Warehouses 2468,3.0
782,Warehouses 2448,3.0
783,Warehouses 2324,3.0
784,Warehouses 2321,3.0
785,Warehouses 2299,3.0
786,Warehouses 2199,3.0
787,Warehouses 2183,3.0
788,Warehouses 2155,3.0
789,Warehouses 2141,3.0
790,Warehouses 2140,3.0
791,Warehouses 2108,3.0
792,Warehouses 2066,3.0
793,Warehouses 2012,3.0
794,Warehouses 1993,3.0
795,Warehouses 1935,3.0
796,Warehouses 1846,3.0
797,Warehouses 1716,3.0
798,Warehouses 1704,3.0
799,Warehouses 1653,3.0
800,Warehouses 1632,3.0
801,Warehouses 1576,3.0
802,Warehouses 1464,3.0
803,Warehouses 1427,3.0
804,Warehouses 1328,3.0
805,Warehouses 1258,3.0
806,Warehouses 1187,3.0
807,Warehouses 1174,3.0
808,Warehouses 1152,3.0
809,Warehouses 1127,3.0
810,Warehouses 1125,3.0
811,Warehouses 1045,3.0
812,Retailer 62821,3.0
813,Warehouses 9981,2.0
814,Warehouses 9957,2.0
815,Warehouses 9942,2.0
816,Warehouses 9924,2.0
817,Warehouses 9911,2.0
818,Warehouses 9901,2.0
819,Warehouses 9872,2.0
820,Warehouses 9777,2.0
821,Warehouses 9762,2.0
822,Warehouses 9752,2.0
823,Warehouses 9741,2.0
824,Warehouses 9722,2.0
825,Warehouses 9695,2.0
826,Warehouses 9506,2.0
827,Warehouses 9473,2.0
828,Warehouses 9454,2.0
829,Warehouses 9444,2.0
830,Warehouses 9424,2.0
831,Warehouses 9399,2.0
832,Warehouses 9376,2.0
833,Warehouses 9369,2.0
834,Warehouses 9357,2.0
835,Warehouses 9349,2.0
836,Warehouses 9300,2.0
837,Warehouses 9292,2.0
838,Warehouses 9215,2.0
839,Warehouses 9190,2.0
840,Warehouses 9168,2.0
841,Warehouses 9133,2.0
842,Warehouses 9091,2.0
843,Warehouses 9077,2.0
844,Warehouses 9065,2.0
845,Warehouses 9011,2.0
846,Warehouses 8984,2.0
847,Warehouses 8962,2.0
848,Warehouses 8958,2.0
849,Warehouses 8954,2.0
850,Warehouses 8935,2.0
851,Warehouses 8921,2.0
852,Warehouses 8907,2.0
853,Warehouses 8853,2.0
854,Warehouses 8812,2.0
855,Warehouses 8765,2.0
856,Warehouses 8758,2.0
857,Warehouses 8714,2.0
858,Warehouses 8699,2.0
859,Warehouses 8620,2.0
860,Warehouses 8593,2.0
861,Warehouses 8534,2.0
862,Warehouses 8511,2.0
863,Warehouses 8452,2.0
864,Warehouses 8450,2.0
865,Warehouses 8426,2.0
866,Warehouses 8400,2.0
867,Warehouses 8370,2.0
868,Warehouses 8365,2.0
869,Warehouses 8255,2.0
870,Warehouses 8235,2.0
871,Warehouses 8218,2.0
872,Warehouses 8175,2.0
873,Warehouses 8154,2.0
874,Warehouses 8124,2.0
875,Warehouses 8114,2.0
876,Warehouses 8084,2.0
877,Warehouses 8064,2.0
878,Warehouses 8055,2.0
879,Warehouses 8050,2.0
880,Warehouses 7975,2.0
881,Warehouses 7971,2.0
882,Warehouses 7959,2.0
883,Warehouses 7895,2.0
884,Warehouses 7864,2.0
885,Warehouses 7843,2.0
886,Warehouses 7774,2.0
887,Warehouses 7688,2.0
888,Warehouses 7673,2.0
889,Warehouses 7664,2.0
890,Warehouses 7660,2.0
891,Warehouses 7651,2.0
892,Warehouses 7622,2.0
893,Warehouses 7614,2.0
894,Warehouses 7581,2.0
895,Warehouses 7564,2.0
896,Warehouses 7434,2.0
897,Warehouses 7404,2.0
898,Warehouses 7402,2.0
899,Warehouses 7326,2.0
900,Warehouses 7309,2.0
901,Warehouses 7286,2.0
902,Warehouses 7282,2.0
903,Warehouses 7240,2.0
904,Warehouses 7212,2.0
905,Warehouses 7209,2.0
906,Warehouses 7146,2.0
907,Warehouses 7145,2.0
908,Warehouses 7118,2.0
909,Warehouses 7058,2.0
910,Warehouses 7011,2.0
911,Warehouses 6984,2.0
912,Warehouses 6979,2.0
913,Warehouses 6960,2.0
914,Warehouses 6894,2.0
915,Warehouses 6889,2.0
916,Warehouses 6877,2.0
917,Warehouses 6859,2.0
918,Warehouses 6858,2.0
919,Warehouses 6857,2.0
920,Warehouses 6804,2.0
921,Warehouses 6790,2.0
922,Warehouses 6724,2.0
923,Warehouses 6675,2.0
924,Warehouses 6670,2.0
925,Warehouses 6586,2.0
926,Warehouses 6557,2.0
927,Warehouses 6548,2.0
928,Warehouses 6536,2.0
929,Warehouses 6492,2.0
930,Warehouses 6485,2.0
931,Warehouses 6443,2.0
932,Warehouses 6390,2.0
933,Warehouses 6363,2.0
934,Warehouses 6297,2.0
935,Warehouses 6292,2.0
936,Warehouses 6283,2.0
937,Warehouses 6280,2.0
938,Warehouses 6219,2.0
939,Warehouses 6124,2.0
940,Warehouses 6096,2.0
941,Warehouses 6090,2.0
942,Warehouses 6085,2.0
943,Warehouses 6045,2.0
944,Warehouses 5985,2.0
945,Warehouses 5974,2.0
946,Warehouses 5961,2.0
947,Warehouses 5932,2.0
948,Warehouses 5922,2.0
949,Warehouses 5904,2.0
950,Warehouses 5777,2.0
951,Warehouses 5761,2.0
