,IntShip_id,listSuppIds,factoryIds,TransportationType
348,10294,26533,52082,Sea
349,10295,35266,52082,Air
350,10296,21166,52082,Land
351,10297,58976,52082,Land
352,10298,92698,52082,Land
353,10299,85240,14125,Sea
354,10300,89467,14125,Sea
355,10301,68357,14125,Land
356,10302,77743,48467,Sea
357,10303,61570,48467,Air
358,10304,85240,48467,Air
359,10305,29277,48467,Sea
360,10306,13920,48467,Land
361,10307,55441,48467,Sea
362,10308,48467,94512,Air
363,10309,24451,94512,Sea
364,10310,15367,94512,Land
365,10311,91465,94512,Sea
366,10312,99762,94512,Air
367,10313,23640,94512,Land
368,10314,82144,52082,Land
369,10315,43160,52082,Sea
370,10316,19072,52082,Sea
371,10317,24646,52082,Air
372,10318,75444,52082,Land
373,10319,29277,30692,Air
374,10320,18997,30692,Air
375,10321,26533,30692,Sea
376,10322,35266,75444,Sea
377,10323,20226,75444,Air
378,10324,30864,75444,Air
379,10325,68615,75444,Sea
380,10326,43284,75444,Sea
381,10327,42091,75444,Air
382,10328,71819,75444,Sea
383,10329,16265,61565,Air
384,10330,43691,61565,Sea
385,10331,24451,61565,Air
386,10332,85240,24646,Sea
387,10333,30864,24646,Air
388,10334,46942,24646,Sea
389,10335,68615,54148,Air
390,10336,86580,54148,Air
391,10337,42179,54148,Sea
392,10338,27057,55441,Land
393,10339,51293,55441,Sea
394,10340,57551,55441,Land
395,10341,43160,55441,Air
396,10342,70468,55441,Sea
397,10343,48467,55441,Sea
398,10344,18952,55441,Air
399,10345,92698,55441,Land
400,10346,46070,55441,Air
401,10347,74432,55441,Land
402,10348,40898,72315,Land
403,10349,24646,72315,Land
404,10350,13951,21232,Sea
405,10351,78265,21232,Sea
406,10352,54921,21232,Sea
407,10353,57551,29277,Air
408,10354,96293,29277,Land
409,10355,52160,29277,Sea
410,10356,24451,29277,Air
411,10357,74432,29277,Sea
412,10358,68357,29277,Sea
413,10359,21166,29277,Sea
414,10360,52647,29277,Air
415,10361,40898,29277,Air
416,10362,48238,87695,Land
417,10363,68814,87695,Land
418,10364,24646,87695,Land
419,10365,40597,87695,Air
420,10366,36243,87695,Land
421,10367,70468,52082,Air
422,10368,42179,52082,Air
423,10369,54148,52082,Sea
424,10370,81423,52082,Air
425,10371,68240,52082,Air
426,10372,36417,52082,Sea
427,10373,55441,13362,Land
428,10374,13920,13362,Air
429,10375,71056,72315,Sea
430,10376,42179,72315,Sea
431,10377,74318,72315,Air
432,10378,36985,74432,Land
433,10379,94512,43160,Land
434,10380,40898,43160,Sea
435,10381,15367,43160,Sea
436,10382,11283,81423,Land
437,10383,46942,81423,Land
438,10384,28042,81423,Land
439,10385,91465,81423,Land
440,10386,10161,81423,Air
441,10387,71916,81423,Land
442,10388,43691,81423,Land
443,10389,51293,81423,Air
444,10390,21166,81423,Air
445,10391,55441,81423,Air
446,10392,55441,13951,Air
447,10393,23640,13951,Land
448,10394,43691,13951,Land
449,10395,11790,46894,Air
450,10396,71056,46894,Land
451,10397,87695,46894,Land
452,10398,46204,46894,Air
453,10399,70468,46894,Sea
454,10400,55441,46894,Air
455,10401,74318,46894,Land
456,10402,52160,46894,Air
457,10403,81423,46894,Sea
458,10404,92698,77743,Sea
459,10405,55787,77743,Land
460,10406,46204,24451,Sea
461,10407,10731,24451,Sea
462,10408,18952,24451,Air
463,10409,54921,24451,Air
464,10410,23640,24451,Land
465,10411,61565,24451,Air
466,10412,54148,24451,Sea
467,10413,11790,24451,Land
468,10414,19072,24451,Air
469,10415,92698,24451,Air
470,10416,42091,34967,Air
471,10417,90942,34967,Sea
472,10418,43691,46070,Land
473,10419,28873,46070,Land
474,10420,42091,46070,Air
475,10421,65468,46070,Air
476,10422,19878,27057,Sea
477,10423,46894,27057,Sea
478,10424,57551,27057,Land
479,10425,42091,27057,Sea
480,10426,36985,27057,Air
481,10427,35841,27057,Land
482,10428,16265,27057,Air
483,10429,52160,71574,Land
484,10430,34967,71574,Sea
485,10431,70468,30864,Sea
486,10432,36985,13920,Air
487,10433,54921,13920,Land
488,10434,71574,13920,Sea
489,10435,42091,13920,Sea
490,10436,13362,13920,Land
491,10437,79389,13920,Sea
492,10438,97142,13920,Land
493,10439,46204,13951,Sea
494,10440,87916,13951,Sea
495,10441,58976,13951,Land
496,10442,19878,13951,Air
497,10443,82144,13951,Air
498,10444,82144,48580,Land
499,10445,52647,48580,Land
500,10446,13362,48580,Air
501,10447,87916,70443,Sea
502,10448,71597,70443,Sea
503,10449,43284,70443,Air
504,10450,87695,14125,Air
505,10451,57551,14125,Land
506,10452,92698,14125,Air
507,10453,54148,14125,Land
508,10454,13283,14125,Land
509,10455,71056,14125,Land
510,10456,34967,14125,Air
511,10457,46070,71597,Air
512,10458,46894,71597,Air
513,10459,55787,30864,Sea
514,10460,10161,30864,Air
515,10461,46204,30864,Air
516,10462,68814,30864,Land
517,10463,55441,30864,Sea
518,10464,61565,30864,Air
519,10465,20226,30864,Air
520,10466,52160,28873,Land
521,10467,71916,15367,Sea
522,10468,43284,15367,Land
523,10469,74432,15367,Land
524,10470,97142,15367,Sea
525,10471,71597,46070,Air
526,10472,55787,46070,Sea
527,10473,11283,46070,Sea
528,10474,11790,46070,Air
529,10475,54921,46070,Air
530,10476,94512,46070,Land
531,10477,10161,46070,Sea
532,10478,42179,46070,Sea
533,10479,48467,46070,Sea
534,10480,70468,18952,Air
535,10481,48580,18952,Land
536,10482,30864,18952,Air
