,IntServ_id,IntTrans_id,placed_when,actual_date,expected_date,quota,status
51,4007,1832,1975-05-09,1975-05-21,1975-05-26,181.36,Processed
52,5454,4327,2016-03-23,2016-04-10,2016-04-20,86.85,Processed
53,8831,4645,1985-08-17,1985-09-02,1985-09-03,4236.58,Processed
54,5612,8970,1989-02-28,1989-03-20,1989-03-16,8206.79,Pending
55,1219,3581,2009-01-14,2009-01-24,2009-02-08,5.17,Processed
56,2770,8824,2010-02-15,2010-03-15,2010-03-08,7591.33,Pending
57,4510,9001,1981-12-21,1982-01-10,1982-01-10,75.29,Processed
58,8396,1289,2014-01-17,2014-02-01,2014-02-16,671.18,Processed
59,2013,8312,2001-01-08,2001-02-03,2001-01-21,6.62,Pending
60,3678,6924,2007-04-09,2007-04-27,2007-04-27,11.26,Processed
61,2018,3081,2004-08-10,2004-09-03,2004-09-01,830.68,Pending
62,4331,1832,2020-08-17,2020-09-13,2020-08-30,9.62,Pending
63,2422,2741,1993-04-01,1993-04-20,1993-04-19,758.96,Pending
64,4659,9001,2007-02-21,2007-03-03,2007-03-11,71.74,Processed
65,1377,1609,1977-11-18,1977-12-12,1977-12-16,465.71,Processed
66,7264,7564,1992-07-04,1992-07-18,1992-08-02,676.58,Processed
67,8623,7076,2008-08-26,2008-09-09,2008-09-07,947.63,Pending
68,5975,1733,2015-08-23,2015-09-07,2015-09-19,83.65,Processed
69,1508,5651,1973-04-24,1973-05-15,1973-05-16,90.51,Processed
70,6508,8775,1980-05-28,1980-06-13,1980-06-22,8836.67,Processed
71,8972,8228,2021-02-21,2021-03-03,2021-03-23,48.13,Processed
72,9704,9055,1980-07-22,1980-08-08,1980-08-07,7.38,Pending
73,7290,4502,1998-03-15,1998-04-14,1998-04-12,23.84,Pending
74,7899,9378,2008-06-04,2008-06-19,2008-06-17,9.84,Pending
75,6763,9347,2011-12-27,2012-01-07,2012-01-08,8702.11,Processed
76,2503,7564,1988-01-30,1988-02-27,1988-02-25,1.95,Pending
77,8138,9913,2006-11-07,2006-12-06,2006-12-03,12.96,Pending
78,3595,9186,1998-10-19,1998-11-06,1998-11-18,9.29,Processed
79,9794,8024,1980-05-31,1980-06-28,1980-06-29,897.58,Processed
80,8030,1952,2008-02-01,2008-02-12,2008-03-02,276.75,Processed
81,9513,3277,1992-07-05,1992-07-27,1992-07-16,90.44,Pending
82,4374,8775,1987-09-12,1987-09-22,1987-09-22,131.36,Processed
83,9798,9371,1995-12-08,1996-01-03,1995-12-30,76.55,Pending
84,7538,3008,1997-11-23,1997-12-13,1997-12-14,8.14,Processed
85,5422,3919,1973-08-27,1973-09-22,1973-09-15,93.63,Pending
86,8746,5738,1971-10-11,1971-10-23,1971-11-04,974.11,Processed
87,4000,6334,1970-03-05,1970-03-15,1970-03-27,6890.43,Processed
88,9477,4645,1972-06-02,1972-06-14,1972-06-28,5.53,Processed
89,7281,2751,2014-01-31,2014-02-19,2014-02-19,25.58,Processed
90,5084,7473,1987-09-23,1987-10-11,1987-10-21,3.69,Processed
91,1025,9001,2016-02-07,2016-02-19,2016-02-29,69.92,Processed
92,9422,9378,1997-11-30,1997-12-22,1997-12-19,282.63,Pending
93,8364,7927,1985-07-16,1985-07-26,1985-08-10,56.43,Processed
94,7116,2558,1990-05-05,1990-05-27,1990-05-31,58.22,Processed
95,9334,4502,2017-02-28,2017-03-13,2017-03-13,861.82,Processed
96,5599,3581,1973-05-05,1973-05-26,1973-05-21,902.96,Pending
97,3103,1793,1988-06-22,1988-07-18,1988-07-13,60.33,Pending
98,4859,6220,2000-05-01,2000-05-14,2000-05-16,9866.19,Processed
99,5732,5792,1997-04-03,1997-04-15,1997-04-19,3.74,Processed
