,fac_id,supplier_id,market_cap,country,city_name,currency,number_of_employees,Annual_sales
154,433408,68562,"167    1.182515e+10
Name: market_capitalization ($), dtype: float64",Latvia,Liepāja,Dollars,156,54.25
155,138348,68562,"167    6.189360e+10
Name: market_capitalization ($), dtype: float64",Comoros,Mohéli,Dollars,863,6.82
156,751895,68562,"167    7.772355e+09
Name: market_capitalization ($), dtype: float64",Niger,Tillabéri,Dollars,888,609.2
157,337781,68562,"167    7.456740e+10
Name: market_capitalization ($), dtype: float64",Hong Kong,Unknown,Dollars,972,2.33
158,168452,68562,"167    6.891768e+10
Name: market_capitalization ($), dtype: float64",Italy,Toscana,Dollars,251,6303.99
159,419112,68562,"167    9.871635e+10
Name: market_capitalization ($), dtype: float64",Argentina,Salta,Dollars,339,345.42
160,962757,68081,"27    4.778332e+10
Name: market_capitalization ($), dtype: float64",South Sudan,Western Equatoria,Dollars,984,3607.76
161,260205,68081,"27    7.766631e+10
Name: market_capitalization ($), dtype: float64",Wallis and Futuna,Alo,Dollars,431,27.72
162,394315,68081,"27    5.633072e+09
Name: market_capitalization ($), dtype: float64",Nauru,Aiwo,Dollars,328,1323.45
163,135472,68081,"27    6.415598e+09
Name: market_capitalization ($), dtype: float64",Slovakia,Banskobystrický kraj,Dollars,965,9.24
164,193358,68081,"27    2.093718e+10
Name: market_capitalization ($), dtype: float64",Gambia,Lower River,Dollars,501,4.45
165,903480,68081,"27    9.536289e+09
Name: market_capitalization ($), dtype: float64",Malta,Fontana,Dollars,441,55.32
166,459940,68081,"27    2.583495e+10
Name: market_capitalization ($), dtype: float64",Latvia,Jaunjelgavas novads,Dollars,886,9563.23
167,498867,68081,"27    1.585549e+10
Name: market_capitalization ($), dtype: float64",France,Doubs,Dollars,587,993.56
168,606338,68081,"27    2.797401e+09
Name: market_capitalization ($), dtype: float64",Saint Kitts and Nevis,Saint George Gingerland,Dollars,240,7170.1
169,400470,68081,"27    3.495913e+10
Name: market_capitalization ($), dtype: float64",Eritrea,Gash-Barka,Dollars,165,63.29
170,841643,92416,"60    6.127001e+10
Name: market_capitalization ($), dtype: float64","Virgin Islands, U.S.",Unknown,Dollars,592,4249.23
171,342396,92416,"60    7.446067e+09
Name: market_capitalization ($), dtype: float64",Namibia,Erongo,Dollars,583,8495.89
172,273673,92416,"60    8.791691e+09
Name: market_capitalization ($), dtype: float64",New Zealand,Waikato,Dollars,844,686.14
173,216237,92416,"60    5.013601e+09
Name: market_capitalization ($), dtype: float64",Burundi,Rutana,Dollars,155,1088.35
174,198143,92416,"60    1.573403e+10
Name: market_capitalization ($), dtype: float64",Russian Federation,Sankt-Peterburg,Dollars,234,860.35
175,172163,92416,"60    1.222604e+10
Name: market_capitalization ($), dtype: float64",Mauritania,Gorgol,Dollars,230,4.36
176,106636,92416,"60    5.153590e+10
Name: market_capitalization ($), dtype: float64",Namibia,Khomas,Dollars,312,8.36
177,609459,92416,"60    3.937796e+10
Name: market_capitalization ($), dtype: float64",Bhutan,Punakha,Dollars,902,3.78
178,173120,92416,"60    6.686048e+09
Name: market_capitalization ($), dtype: float64",Ireland,Connaught,Dollars,516,2069.24
179,211163,92416,"60    7.081299e+09
Name: market_capitalization ($), dtype: float64",Brazil,Tocantins,Dollars,975,3667.42
180,432290,39402,"250    1.051857e+10
Name: market_capitalization ($), dtype: float64",Spain,Las Palmas,Dollars,974,11.87
181,995204,39402,"250    5.461498e+09
Name: market_capitalization ($), dtype: float64",Puerto Rico,Unknown,Dollars,829,13.74
182,668048,39402,"250    2.077296e+10
Name: market_capitalization ($), dtype: float64",Zimbabwe,Manicaland,Dollars,101,530.18
183,963443,39402,"250    1.280889e+11
Name: market_capitalization ($), dtype: float64",Paraguay,Alto Paraná,Dollars,284,91.79
184,919627,39402,"250    1.886135e+10
Name: market_capitalization ($), dtype: float64",Syrian Arab Republic,Al Qunayţirah,Dollars,952,24.92
185,259646,39402,"250    4.251389e+11
Name: market_capitalization ($), dtype: float64",Kenya,Nyeri,Dollars,593,8728.5
186,589385,39402,"250    1.853713e+11
Name: market_capitalization ($), dtype: float64",Netherlands,Flevoland,Dollars,678,36.39
187,751641,39402,"250    5.465447e+10
Name: market_capitalization ($), dtype: float64",Algeria,Boumerdès,Dollars,947,7.27
188,942509,39402,"250    9.599114e+10
Name: market_capitalization ($), dtype: float64",Cameroon,East,Dollars,612,89.26
189,572290,39402,"250    1.906392e+10
Name: market_capitalization ($), dtype: float64",Ireland,Kilkenny,Dollars,326,78.92
190,689796,49681,"92    4.277468e+10
Name: market_capitalization ($), dtype: float64",Poland,Opolskie,Dollars,660,417.58
191,782968,49681,"92    5.248924e+09
Name: market_capitalization ($), dtype: float64",Ukraine,Donetska oblast,Dollars,281,53.38
192,967766,49681,"92    3.136515e+10
Name: market_capitalization ($), dtype: float64",Samoa,Gagaifomauga,Dollars,765,551.5
193,325660,49681,"92    3.733045e+10
Name: market_capitalization ($), dtype: float64",Equatorial Guinea,Região Insular,Dollars,857,3956.55
194,336739,49681,"92    6.410719e+08
Name: market_capitalization ($), dtype: float64",Lesotho,Quthing,Dollars,797,278.98
195,537436,49681,"92    4.170348e+09
Name: market_capitalization ($), dtype: float64",Japan,Tokyo,Dollars,488,742.8
196,846650,49681,"92    1.182324e+10
Name: market_capitalization ($), dtype: float64",Poland,Mazowieckie,Dollars,767,5061.93
197,488126,49681,"92    6.618831e+09
Name: market_capitalization ($), dtype: float64",Australia,New South Wales,Dollars,582,4840.39
198,846062,49681,"92    1.980260e+09
Name: market_capitalization ($), dtype: float64",Pitcairn,Unknown,Dollars,662,7.25
199,903978,49681,"92    2.474618e+09
Name: market_capitalization ($), dtype: float64",Gibraltar,Unknown,Dollars,187,4.97
200,625629,51207,"291    2.984582e+09
Name: market_capitalization ($), dtype: float64",France,Vaucluse,Dollars,143,90.63
201,442831,51207,"291    1.549208e+10
Name: market_capitalization ($), dtype: float64",Afghanistan,Kābul,Dollars,524,589.14
202,924228,51207,"291    2.777657e+10
Name: market_capitalization ($), dtype: float64","Micronesia, Federated States of",Pohnpei,Dollars,290,131.64
203,708303,51207,"291    3.990212e+09
Name: market_capitalization ($), dtype: float64",Seychelles,Anse Etoile,Dollars,515,3517.56
204,259372,51207,"291    9.372674e+10
Name: market_capitalization ($), dtype: float64",South Sudan,Eastern Equatoria,Dollars,794,503.44
205,292878,51207,"291    1.210167e+10
Name: market_capitalization ($), dtype: float64",Andorra,La Massana,Dollars,388,26.49
206,799885,51207,"291    5.633194e+10
Name: market_capitalization ($), dtype: float64",Chad,Logone-Oriental,Dollars,175,4.1
207,342735,51207,"291    9.437174e+10
Name: market_capitalization ($), dtype: float64",Lebanon,Bayrūt,Dollars,397,5693.17
208,536077,51207,"291    4.265813e+10
Name: market_capitalization ($), dtype: float64",South Georgia and the South Sandwich Islands,Unknown,Dollars,802,7063.1
209,296091,51207,"291    1.829635e+09
Name: market_capitalization ($), dtype: float64",Guernsey,Unknown,Dollars,172,9.86
210,911583,40125,"222    2.352548e+10
Name: market_capitalization ($), dtype: float64",Georgia,K'akheti,Dollars,185,8.89
211,430724,40125,"222    5.935673e+09
Name: market_capitalization ($), dtype: float64",Montenegro,Berane,Dollars,613,6.95
212,317076,40125,"222    9.578063e+09
Name: market_capitalization ($), dtype: float64",Portugal,Setúbal,Dollars,379,849.37
213,828020,40125,"222    1.040547e+10
Name: market_capitalization ($), dtype: float64",Montenegro,Tivat,Dollars,556,4329.29
214,367870,40125,"222    1.501077e+09
Name: market_capitalization ($), dtype: float64",Heard Island and McDonald Islands,Unknown,Dollars,282,1.58
215,317578,40125,"222    1.826191e+10
Name: market_capitalization ($), dtype: float64",Palau,Ngaraard,Dollars,202,9.79
216,340996,40125,"222    2.482590e+10
Name: market_capitalization ($), dtype: float64",Pakistan,Azad Jammu and Kashmir,Dollars,922,9.58
217,138132,40125,"222    3.064987e+10
Name: market_capitalization ($), dtype: float64",Equatorial Guinea,Litoral,Dollars,161,14.74
218,925105,40125,"222    2.289822e+10
Name: market_capitalization ($), dtype: float64",Ethiopia,Benshangul-Gumaz,Dollars,439,9.1
219,418859,40125,"222    1.688740e+10
Name: market_capitalization ($), dtype: float64",Ghana,Oti,Dollars,482,15.81
220,744733,18262,"88    8.424886e+09
Name: market_capitalization ($), dtype: float64",Eritrea,Debubawi K’eyyĭḥ Baḥri,Dollars,861,5982.64
