,warehouse_id,country,city_name,capacity (NA),product_types,Operations Expenses,Rental price
47,1470,Gambia,Lower River,924130,['P'],0.99,2.24
48,1482,Rwanda,Southern,763060,"['L', 'U', 'S', 'T', 'M']",0.79,2.96
49,1505,Botswana,Gaborone,127229,['U'],0.8,1.94
50,1510,Saint Martin (French part),Unknown,846033,"['Q', 'S', 'R', 'I', 'B', 'G']",0.79,2.88
51,1526,United Republic of Tanzania,Morogoro,174677,"['R', 'X', 'T', 'K', 'E', 'J', 'C']",0.6,2.47
52,1538,Isle of Man,Unknown,988986,"['O', 'G', 'K']",0.63,2.37
53,1544,Trinidad and Tobago,Siparia,891190,"['D', 'Y']",0.88,2.49
54,1557,French Southern Territories,Unknown,865451,"['N', 'Q', 'S', 'R']",0.61,2.55
55,1564,Zimbabwe,Harare,640912,"['A', 'G', 'W', 'V', 'I', 'M', 'J']",0.65,1.92
56,1565,Sint Maarten (Dutch part),Unknown,463241,"['H', 'O', 'Z', 'V', 'I', 'M']",0.9,2.92
57,1575,Wallis and Futuna,Uvea,931581,"['E', 'A', 'N', 'Z', 'R', 'T']",0.79,2.88
58,1576,Falkland Islands (Malvinas),Unknown,156877,"['Q', 'J', 'N', 'Y', 'T']",0.63,1.89
59,1603,Åland Islands,Unknown,318392,"['G', 'L']",0.79,2.52
60,1606,Afghanistan,Bādghīs,841116,"['D', 'P', 'H', 'F', 'O', 'Y', 'B']",0.81,2.62
61,1614,"Virgin Islands, U.S.",Unknown,888353,['K'],0.62,2.75
62,1623,Brunei Darussalam,Tutong,970353,"['Q', 'C', 'U', 'B']",0.97,2.13
63,1632,Russian Federation,Krasnojarskij kraj,952284,"['B', 'G', 'X']",0.81,2.7
64,1653,Heard Island and McDonald Islands,Unknown,828796,['F'],0.75,2.86
65,1666,India,Tripura,708237,"['O', 'S', 'A', 'R', 'F']",0.84,2.45
66,1668,United States,Jarvis Island,957385,['R'],0.74,2.89
67,1704,Dominica,Saint Andrew,844389,"['N', 'B', 'C', 'E', 'K']",0.54,2.77
68,1707,Kiribati,Phoenix Islands,115466,"['Z', 'N', 'S', 'U', 'T']",0.9,2.52
69,1716,Holy See (Vatican City State),Unknown,562643,['L'],0.84,2.1
70,1721,United States,Navassa Island,721357,['E'],0.71,1.77
71,1728,Uganda,Zombo,575957,"['O', 'A']",0.91,2.15
72,1735,Cocos (Keeling) Islands,Unknown,387594,['J'],0.82,2.56
73,1754,Israel,Al Quds,473061,"['W', 'P']",0.5,2.62
74,1756,Saint Martin (French part),Unknown,467969,"['R', 'D', 'E', 'C', 'S', 'V', 'G']",0.65,2.31
75,1780,Morocco,Sefrou,685917,['T'],0.51,2.54
76,1784,Ecuador,Cotopaxi,948692,"['K', 'R', 'Z']",0.75,2.16
77,1810,Burundi,Bujumbura Mairie,935344,['N'],0.54,2.45
78,1825,Denmark,Midtjylland,531276,"['Q', 'L', 'A']",0.75,2.92
79,1832,Bangladesh,Sylhet,808383,"['E', 'K', 'Y', 'N', 'D', 'X']",0.54,1.77
80,1835,French Polynesia,Unknown,544819,"['T', 'V', 'L', 'Z', 'D', 'H']",0.79,2.72
81,1837,Ukraine,Khersonska oblast,651458,"['H', 'D', 'L', 'U', 'N', 'S', 'I']",0.79,2.96
82,1846,New Zealand,West Coast,796997,"['Z', 'J', 'I', 'D', 'E', 'V']",0.78,2.51
83,1882,Bulgaria,Kardzhali,919980,"['A', 'Z', 'S', 'H', 'E']",0.69,2.27
84,1888,Saint Kitts and Nevis,Christ Church Nichola Town,547134,"['Q', 'V', 'P', 'R']",0.74,1.8
85,1915,Netherlands,Drenthe,511605,"['W', 'C', 'L', 'Y']",0.61,2.88
86,1933,Iceland,Ásahreppur,882879,"['U', 'P', 'L', 'F']",0.91,2.3
87,1935,Romania,Mehedinți,114178,['S'],0.96,1.79
88,1938,Cabo Verde,Tarrafal de São Nicolau,360271,"['H', 'M', 'W', 'N']",0.8,2.53
89,1945,Syrian Arab Republic,Al Qunayţirah,533133,"['H', 'D', 'P']",0.76,2.8
90,1949,Turkmenistan,Balkan,498812,"['S', 'P', 'D', 'X', 'Q']",0.63,2.67
91,1969,South Africa,Eastern Cape,524291,"['M', 'T', 'P', 'S']",0.72,2.61
92,1974,Saint Vincent and the Grenadines,Charlotte,594576,"['B', 'Z', 'U', 'O']",0.98,2.97
93,1992,Guernsey,Unknown,115399,"['G', 'J', 'D', 'T', 'E']",0.6,2.32
94,1993,Turks and Caicos Islands,Unknown,724069,"['U', 'S', 'G', 'I', 'O', 'Y', 'W']",0.87,1.95
95,2002,Armenia,Širak,441998,['N'],0.91,2.14
96,2012,Fiji,Cakaudrove,454741,"['J', 'V']",0.92,2.39
97,2015,Chile,Coquimbo,721312,"['M', 'S', 'B', 'N']",0.51,2.66
98,2026,Nauru,Anetan,173862,"['U', 'B', 'M', 'S', 'D']",0.62,2.17
99,2032,"Iran, Islamic Republic of",Eşfahān,105918,"['G', 'Y', 'X', 'N', 'Z', 'B', 'W']",0.85,2.97
100,2033,Portugal,Portalegre,679163,"['T', 'X', 'P', 'C', 'S', 'R', 'A']",0.96,2.66
101,2061,South Africa,Northern Cape,175458,"['A', 'D', 'Q', 'N', 'G', 'S']",0.94,2.78
102,2066,Germany,Rheinland-Pfalz,727779,"['S', 'I', 'N', 'P']",0.9,2.7
103,2077,Oman,Janūb ash Sharqīyah,629313,"['P', 'O', 'D', 'Q', 'L', 'K']",0.7,1.82
104,2085,Norfolk Island,Unknown,929596,['L'],0.88,2.61
105,2091,Brazil,Paraíba,916584,"['T', 'P', 'J', 'X', 'G']",0.78,2.44
106,2108,United Arab Emirates,Umm al Qaywayn,298045,"['T', 'G', 'X', 'N', 'H', 'A', 'S']",0.66,1.75
107,2116,Mayotte,Unknown,393016,"['Q', 'X', 'Z', 'N', 'E', 'B', 'M']",0.93,1.91
108,2125,Democratic People's Republic of Korea,Hamgyǒng-namdo,669077,"['Q', 'X', 'E', 'B', 'P', 'K']",0.93,2.57
109,2140,Holy See (Vatican City State),Unknown,923532,"['F', 'Z', 'E', 'K']",0.79,2.7
110,2141,Seychelles,Grand Anse Praslin,873365,"['Y', 'I', 'F', 'M']",0.64,2.57
111,2151,Guam,Unknown,643851,"['N', 'P', 'W', 'L', 'C', 'F', 'X']",0.94,2.46
112,2152,Armenia,Vayoć Jor,401971,"['J', 'X', 'P', 'U', 'O', 'G']",0.81,2.81
113,2155,Sierra Leone,Western Area (Freetown),514487,"['G', 'E', 'D', 'A']",0.6,2.52
114,2159,Poland,Zachodniopomorskie,957116,"['X', 'T', 'V', 'H', 'L', 'A']",0.81,2.14
115,2176,"Micronesia, Federated States of",Chuuk,345692,"['B', 'L', 'E', 'X', 'D', 'Z']",0.68,1.82
116,2183,Germany,Saarland,136211,"['C', 'K', 'S']",0.88,2.24
117,2194,Faroe Islands,Unknown,380536,"['E', 'Z', 'G', 'X', 'F', 'M']",0.95,1.88
118,2198,Saint Barthélemy,Unknown,610305,"['P', 'E', 'J', 'F', 'X']",0.66,2.29
119,2199,Réunion,Unknown,802809,"['R', 'H', 'Y', 'P']",0.9,2.08
120,2231,South Georgia and the South Sandwich Islands,Unknown,518204,"['K', 'I', 'L']",0.88,1.89
121,2238,Brazil,Distrito Federal,182247,"['S', 'Q', 'L', 'P', 'K']",0.57,2.91
122,2244,Liechtenstein,Gamprin,503373,['I'],0.5,2.29
123,2252,Liechtenstein,Schellenberg,684684,"['P', 'Z']",0.62,2.02
124,2266,Bhutan,Zhemgang,574433,"['J', 'N', 'Y']",0.79,2.36
125,2275,Serbia,Južnobanatski okrug,834168,"['S', 'P', 'C', 'N', 'O', 'D']",0.74,2.15
126,2280,Singapore,South West,582724,['G'],0.79,2.63
127,2294,Rwanda,Northern,976557,"['K', 'E']",0.53,2.02
128,2299,Seychelles,Ile Perseverance II,818828,"['C', 'F', 'S']",0.94,2.94
129,2301,Montserrat,Unknown,320179,"['U', 'B', 'C', 'F', 'K']",0.5,2.82
130,2304, The Democratic Republic of the Congo,Lomami,277143,"['E', 'H', 'L', 'M']",0.85,2.25
131,2321,Mayotte,Unknown,302337,"['T', 'M', 'F']",0.52,2.78
132,2324,Paraguay,Caaguazú,176403,"['R', 'U', 'V', 'X', 'I', 'W', 'O']",0.91,2.38
133,2329,Bolivarian Republic of Venezuela,Bolívar,312251,"['F', 'R', 'U', 'Y', 'J', 'C', 'X']",0.93,2.29
134,2345,France,Mayotte,201442,['B'],0.95,2.83
135,2356,South Sudan,Western Equatoria,604853,"['V', 'O', 'C', 'D', 'S']",0.76,2.61
136,2367,Suriname,Commewijne,871572,"['E', 'V', 'W', 'X']",0.57,2.31
137,2396,Timor-Leste,Cova Lima,258681,"['J', 'H', 'L', 'Q']",0.96,1.89
138,2414,Comoros,Andjouân,846130,"['R', 'D']",0.82,2.36
139,2424,Austria,Salzburg,819561,"['K', 'R', 'A', 'J']",0.85,2.64
140,2428,Norfolk Island,Unknown,285083,['C'],0.61,2.49
141,2430,Ghana,Upper East,619604,"['V', 'E', 'K', 'C', 'F']",0.66,1.94
142,2441,Fiji,Macuata,346247,"['Y', 'X', 'A', 'S', 'T', 'J', 'C']",0.83,1.77
143,2448,Cocos (Keeling) Islands,Unknown,830688,"['E', 'L', 'S', 'W', 'D', 'U', 'Y']",0.73,2.04
144,2454,Federated States of Micronesia,Pohnpei,130823,"['I', 'B', 'O']",0.85,2.7
145,2468,New Caledonia,Unknown,471849,"['X', 'U', 'T', 'Z', 'J']",0.6,2.06
146,2481,Antarctica,Unknown,842926,"['E', 'B', 'F', 'P', 'N', 'W', 'H']",0.84,1.79
147,2506,Saint Kitts and Nevis,Saint Thomas Middle Island,617653,"['Z', 'H', 'S']",0.82,2.11
148,2524,Saint Kitts and Nevis,Saint Anne Sandy Point,658056,"['Z', 'S', 'R', 'P']",0.94,2.96
149,2526,Lebanon,Jabal Lubnān,644589,"['O', 'A', 'X', 'E', 'T', 'W', 'I']",0.69,2.92
150,2538,Marshall Islands,Utrik,586679,['F'],0.51,2.46
151,2553,Botswana,Lobatse,562969,"['Z', 'U', 'E']",0.83,1.92
152,2587,Guam,Unknown,901297,"['L', 'X', 'E']",0.53,2.0
153,2607,Japan,Gunma,842697,"['V', 'O', 'C', 'U', 'P', 'E', 'A']",0.93,2.46
154,2614,Libya,Nālūt,214482,"['M', 'O', 'Q']",0.98,2.18
155,2619,Tunisia,Jendouba,260630,"['D', 'P', 'W', 'T']",0.64,1.82
156,2629,Christmas Island,Unknown,525345,"['S', 'P', 'D']",0.93,2.68
157,2630,Argentina,Mendoza,312288,"['R', 'A', 'N']",0.67,2.13
158,2632,Guinea-Bissau,Bolama / Bijagós,637712,"['A', 'E', 'S', 'Y', 'M', 'H', 'V']",0.91,2.87
159,2638,Andorra,Encamp,973853,"['A', 'K', 'R', 'W', 'D', 'H', 'S']",0.58,2.25
160,2644,Slovakia,Prešovský kraj,805314,"['N', 'J', 'T', 'D', 'V']",0.7,2.4
161,2647,Israel,Al Awsaţ,775013,"['O', 'U']",0.64,2.44
162,2664,Georgia,Samegrelo-Zemo Svaneti,919120,"['I', 'B', 'K']",0.91,2.03
163,2666,El Salvador,Ahuachapán,916170,"['X', 'W', 'D', 'A']",0.85,2.75
164,2670,Gibraltar,Unknown,905613,"['U', 'O', 'R', 'W', 'D']",0.96,2.97
165,2683,Dominican Republic,Cibao Noroeste,140866,"['A', 'F', 'J', 'B', 'V', 'S', 'Y']",0.95,1.86
166,2689,Curaçao,Unknown,345206,"['R', 'O', 'H', 'S']",0.81,2.96
167,2691,Cyprus,Larnaka,375007,"['S', 'R', 'T', 'A', 'I', 'J', 'L']",0.89,2.45
168,2708,Sao Tome and Principe,Cantagalo,198084,['P'],0.58,2.54
169,2714,Saint Martin (French part),Unknown,162796,"['O', 'I', 'Z']",0.51,2.08
170,2722,Comoros,Ngazidja,523068,['L'],0.85,2.93
171,2727,Faroe Islands,Unknown,885712,"['X', 'J', 'I', 'N']",0.75,2.11
172,2728,Dominica,Saint Andrew,871372,"['M', 'S', 'T']",0.79,2.06
173,2729,Zimbabwe,Matabeleland South,257286,"['X', 'J', 'O']",0.52,2.11
174,2730,Wallis and Futuna,Uvea,497534,"['X', 'M', 'Y', 'P', 'Q']",0.64,1.93
175,2737,"Tanzania, United Republic of",Shinyanga,483339,"['X', 'M', 'F', 'V', 'G', 'O', 'Z']",0.92,2.01
176,2751,Svalbard and Jan Mayen,Unknown,133287,"['M', 'W', 'Y']",0.56,2.46
177,2764,Australia,Australian Capital Territory,147945,['E'],0.88,2.04
178,2797,San Marino,Montegiardino,679250,['H'],0.84,2.42
179,2798,Niue,Unknown,274601,"['E', 'L', 'K', 'Y', 'W', 'I']",0.76,1.89
180,2804,Maldives,Unknown,742500,"['O', 'C', 'E', 'M', 'T']",0.53,1.95
181,2805,Saint Vincent and the Grenadines,Saint David,861965,"['T', 'H', 'J']",0.94,1.92
182,2815,United States,Johnston Atoll,711521,"['X', 'M', 'I', 'L', 'F', 'H']",0.72,1.92
183,2816,Tonga,Ha'apai,983278,"['H', 'G', 'X', 'Q']",0.94,1.91
184,2821,Turks and Caicos Islands,Unknown,944666,"['O', 'R', 'C', 'Q', 'U', 'P', 'I']",0.74,1.86
185,2822,Angola,Moxico,152203,['E'],0.94,1.99
186,2843,San Marino,Serravalle,689191,"['B', 'C', 'J']",0.62,1.82
187,2855,Nicaragua,Estelí,541345,"['A', 'C', 'I', 'Q', 'T', 'V']",0.57,2.42
188,2859,Ecuador,El Oro,137387,"['L', 'S', 'C', 'H']",0.95,2.6
189,2865,Liberia,River Gee,760039,"['U', 'W', 'G']",0.92,2.85
190,2877,Saint Barthélemy,Unknown,812482,"['D', 'R', 'B', 'N']",0.99,2.22
191,2878,Madagascar,Mahajanga,390715,"['K', 'C', 'L', 'G', 'X']",0.67,2.27
192,2881,Sierra Leone,North Western,441723,"['K', 'Y', 'L', 'G']",0.65,2.4
193,2882,Faroe Islands,Unknown,169745,"['A', 'H']",0.77,2.05
194,2886,Lao People's Democratic Republic,Salavan,426342,"['W', 'U']",0.81,1.92
195,2891,Trinidad and Tobago,Port of Spain,578724,"['T', 'C', 'K', 'F', 'N', 'M']",0.58,2.67
196,2893,Central African Republic,Ombella-Mpoko,118565,"['K', 'H']",0.61,2.75
197,2894,Angola,Malange,106024,['F'],0.69,2.86
198,2910,Gabon,Ogooué-Lolo,169893,['K'],0.82,1.96
199,2921,Madagascar,Antananarivo,340329,"['E', 'V', 'T', 'M', 'X', 'Y', 'G']",0.8,2.99
200,2930,Uruguay,Río Negro,569054,"['S', 'W', 'Z', 'C']",0.96,1.81
201,2935,Federated States of Micronesia,Yap,519448,"['X', 'R', 'P', 'W', 'Z']",0.66,2.12
202,2936,Norway,Svalbard (Arctic Region),213297,"['I', 'U']",0.59,1.96
203,2937,Netherlands,Aruba,939379,"['K', 'O', 'N']",0.94,2.22
204,2951,Georgia,Tbilisi,769082,"['Q', 'A', 'X']",0.52,2.67
205,2969,India,Himāchal Pradesh,292313,"['Q', 'Z', 'H', 'U', 'M', 'V']",0.72,2.96
206,2970,Turkmenistan,Balkan,413594,"['X', 'Y']",0.92,2.23
207,2975,American Samoa,Unknown,190832,['N'],0.71,2.13
208,2991,Greece,Ípeiros,879162,"['J', 'F', 'N', 'G', 'U']",0.97,1.89
209,2999,Saint Barthélemy,Unknown,640806,"['T', 'C', 'G', 'J']",0.72,1.78
210,3000,"Moldova, Republic of",Basarabeasca,532690,"['V', 'A', 'S', 'D', 'O']",0.64,2.24
211,3002,Sweden,Västernorrlands län [SE-22],312707,"['N', 'Z', 'T']",0.81,1.83
212,3021,Côte d'Ivoire,Comoé,812958,"['J', 'P', 'O', 'M', 'N', 'R', 'E']",0.55,2.2
213,3031,Ecuador,Tungurahua,329578,"['V', 'Q', 'X', 'Z', 'A', 'L']",0.88,2.65
214,3043,Turkmenistan,Balkan,718832,"['H', 'I', 'E', 'N', 'Q', 'S', 'M']",0.54,2.4
215,3044,Benin,Borgou,435888,"['T', 'Q', 'R']",0.91,2.64
216,3046,Norway,Oslo,495349,['H'],0.99,2.44
217,3069,Netherlands,Saba,594523,"['E', 'T', 'Q', 'S', 'C', 'X']",0.75,2.09
218,3074,Cameroon,East,659471,"['K', 'A']",0.5,2.07
219,3075,China,Tianjin Shi,374953,"['I', 'Q', 'F', 'U', 'R']",0.76,2.86
220,3094,Bhutan,Gasa,534255,"['Q', 'W', 'Z', 'D', 'T', 'A', 'R']",0.86,2.52
221,3105,Turks and Caicos Islands,Unknown,504909,"['C', 'Z', 'T', 'W', 'N', 'B', 'I']",0.63,2.08
222,3106,Bermuda,Unknown,976610,"['E', 'I', 'Y', 'H']",0.67,2.16
223,3112,Plurinational State of Bolivia,Santa Cruz,249236,"['B', 'C', 'Q', 'X']",0.95,1.95
224,3118,Cambodia,Siem Reab,179501,"['Y', 'L', 'H', 'F', 'P', 'Q']",0.96,2.01
225,3138,Uzbekistan,Andijon,616439,"['N', 'I', 'X', 'W', 'P', 'R', 'M']",0.62,2.32
226,3140,Lebanon,Baalbek-Hermel,419644,"['F', 'W', 'N', 'B', 'V', 'Y']",0.53,1.94
227,3156,Romania,Brăila,911985,"['Z', 'Y', 'S', 'H']",0.76,2.39
228,3158,Marshall Islands,Ratak chain,235487,['G'],0.59,2.51
229,3176,Azerbaijan,Sədərək,995558,"['T', 'D', 'W', 'K', 'E', 'Y', 'J']",0.94,2.77
230,3181,Grenada,Saint George,854088,"['G', 'F', 'Z', 'X']",0.62,1.95
231,3206,Solomon Islands,Rennell and Bellona,729270,"['T', 'D', 'K', 'R']",0.89,2.33
232,3219,Gibraltar,Unknown,736215,"['P', 'R', 'G']",0.8,2.73
233,3221,Chad,Tandjilé,882859,"['W', 'K', 'J', 'N']",0.5,2.6
234,3225,Rwanda,Eastern,410579,"['M', 'Y', 'Q']",0.98,1.79
235,3227,Cayman Islands,Unknown,704267,"['Q', 'B', 'X']",0.85,2.19
236,3238,Libya,Sabhā,434200,"['V', 'M', 'N', 'C', 'L', 'J']",0.5,1.77
237,3243,Indonesia,Sulawesi Tenggara,294197,"['F', 'H', 'Q', 'J']",0.75,2.73
238,3248,Morocco,Youssoufia,949554,"['F', 'R', 'S']",0.91,1.96
239,3257,Mozambique,Maputo,356251,"['P', 'B', 'I', 'T', 'Y']",0.95,1.76
240,3259,Dominica,Saint David,902997,"['T', 'K', 'D', 'W', 'J', 'N']",0.98,2.75
241,3261,Aruba,Unknown,705542,"['O', 'P', 'Y']",0.84,2.33
242,3264,Saint Pierre and Miquelon,Unknown,782457,['X'],0.61,2.24
243,3267,Morocco,Tétouan,344153,"['I', 'T', 'X']",0.59,2.39
244,3270,Ghana,Upper East,994591,"['L', 'N']",0.72,1.89
245,3276,Brazil,Rio Grande do Sul,909808,"['K', 'D', 'P', 'I', 'A', 'W', 'R']",0.78,2.76
246,3309,Nauru,Buada,608376,"['W', 'D', 'N', 'J', 'G', 'Q', 'V']",0.76,2.06
247,3310,Christmas Island,Unknown,758056,"['X', 'S', 'A']",0.66,2.91
248,3350,Egypt,Sūhāj,898684,"['Y', 'H', 'M', 'N', 'P', 'Z']",0.88,2.55
249,3351,Dominica,Saint Andrew,110790,"['Y', 'K']",0.62,1.92
250,3377,Philippines,Mountain Province,660524,"['N', 'T', 'Q']",0.6,1.84
251,3387,Burkina Faso,Cascades,914312,['F'],0.58,2.06
252,3401,Uzbekistan,Surxondaryo,822178,"['F', 'J', 'G', 'O', 'D', 'E', 'N']",0.65,1.95
253,3406,Colombia,Risaralda,997073,['T'],0.84,2.35
254,3413,Norfolk Island,Unknown,600541,"['G', 'Z', 'F', 'Q']",0.63,2.17
255,3427,Rwanda,Western,704889,"['D', 'N', 'F', 'V', 'A']",0.9,2.27
256,3437,Samoa,Gagaifomauga,222214,"['B', 'H', 'F', 'V', 'P', 'Q', 'U']",0.77,2.78
257,3452,American Samoa,Unknown,468981,['T'],0.63,2.04
258,3456,Norway,Viken,748345,['S'],0.97,2.93
259,3459,Mauritius,Rodrigues Island,613316,"['A', 'T', 'Q']",0.53,1.79
260,3468,Macao,Unknown,974866,"['L', 'Z', 'T']",0.58,2.88
261,3493,Sao Tome and Principe,Príncipe,355769,"['G', 'W', 'X', 'Q', 'Y', 'M']",0.56,2.83
262,3514,United States,Jarvis Island,351248,"['V', 'O', 'J', 'E', 'F', 'Z', 'C']",0.84,2.27
263,3525,Dominican Republic,Barahona,780689,['B'],0.68,2.51
264,3532,Panama,Ngöbe-Buglé,149633,"['I', 'Y', 'L', 'H', 'T', 'M', 'E']",0.73,2.51
265,3535,Australia,South Australia,781893,"['W', 'Z', 'G', 'S', 'R']",0.83,2.31
266,3539,Cook Islands,Unknown,567363,['U'],0.52,2.14
267,3553,Belgium,"wallonne, Région",455059,"['V', 'C', 'T', 'S', 'Z', 'N', 'U']",0.81,2.72
268,3573,Czechia,Uherské Hradiště,923330,"['B', 'L', 'I', 'K', 'E', 'Z']",0.88,1.82
269,3577,Nauru,Ewa,599152,"['P', 'F', 'N', 'G']",0.72,2.74
270,3591,Equatorial Guinea,Djibloho,451592,"['V', 'Z', 'L', 'O']",0.57,2.52
271,3600,Madagascar,Fianarantsoa,650927,"['Z', 'F', 'P', 'L', 'R']",0.52,2.02
272,3609,Tonga,Tongatapu,925010,"['S', 'M', 'L', 'W', 'Y']",0.52,2.96
273,3613,Libya,Murzuq,368134,"['D', 'C', 'J', 'U', 'G', 'E', 'W']",0.74,2.21
274,3630,Kenya,Narok,419368,"['P', 'C', 'F', 'W', 'G', 'Y']",0.5,2.99
275,3638,Portugal,Viana do Castelo,381559,"['F', 'G', 'N', 'S']",0.78,2.48
276,3640,Hong Kong,Unknown,822794,"['Q', 'C', 'N', 'D', 'Z', 'G', 'S']",0.89,1.88
277,3652,Tunisia,Zaghouan,666039,"['K', 'C']",0.94,2.01
278,3661,French Southern Territories,Unknown,266147,"['R', 'X', 'D']",0.95,2.1
279,3673,Pitcairn,Unknown,291516,"['K', 'B', 'J']",0.91,2.24
280,3688,Saint Kitts and Nevis,Saint George Basseterre,925088,"['G', 'I']",0.77,2.47
281,3692,San Marino,Acquaviva,216080,"['U', 'Z', 'G', 'R', 'Y']",0.58,2.7
282,3730,India,Sikkim,951849,"['V', 'O', 'E', 'U']",0.79,2.19
283,3735,Togo,Plateaux,644948,"['Z', 'B', 'G', 'T', 'F', 'H']",0.64,2.14
284,3742,Austria,Tirol,681304,"['M', 'A', 'S', 'W', 'U', 'V']",0.72,2.09
285,3751,United Republic of Tanzania,Singida,995241,"['Z', 'C']",0.64,2.89
286,3756,State of Palestine,Gaza,614629,"['R', 'S', 'C', 'P', 'X', 'D']",0.93,2.11
287,3759,Tajikistan,Kŭhistoni Badakhshon,772327,"['J', 'X']",0.59,2.31
288,3760,Yemen,Aḑ Ḑāli‘,922304,"['X', 'Z', 'N', 'K']",0.83,1.97
289,3765,Cyprus,Girne,512521,"['K', 'H', 'E', 'B', 'O', 'C', 'D']",0.5,2.99
290,3766,Cameroon,South,578809,"['R', 'E', 'U', 'K', 'T']",0.92,1.84
291,3773,Belarus,Minskaja oblast,712693,"['E', 'Q']",0.87,2.99
292,3825,Antigua and Barbuda,Saint Philip,149484,"['B', 'R', 'D', 'K']",0.93,1.8
