,supplier_id,supplier_name,product_id,product_name,Total Manufacturing Cost,Total Sales,Profit/Loss,Target,manufacturing_cost,product_price
27,30864,Rose KG,418,WWW,12668.4,138768.56,126100.16,912124.8,41.4,90.58
28,34967,Scott-Williams,238,CCC,865524.7000000001,5775574.05,4910049.35,78762747.7,1234.7,1647.81
29,36243,"Togliatti, Segni e Carfagna s.r.l.",930,AAA,905.3399999999999,29947.120000000003,29041.780000000002,79669.92,3.82,7.42
30,36417,Webster Group,457,YYY,393.96000000000004,22022.5,21628.54,30334.92,2.68,5.75
31,36985,De Sousa,149,SSS,2018941.2000000002,12941399.159999998,10922457.959999997,177666825.6,1661.68,2129.22
32,40597,"Houghton, Shaw and Bell",858,QQQ,10621.0,516467.84,505846.84,584155.0,531.05,674.24
33,40597,"Houghton, Shaw and Bell",990,UUU,712081.05,5393298.76,4681217.71,69071861.85,7495.59,7040.86
34,43160,Häring Fechner GmbH & Co. KG,160,RRR,396876.48,27875199.6,27478323.12,39687648.0,5088.16,7278.12
35,43284,Lombard et Fils,242,OOO,2729708.64,65542128.73000002,62812420.09000002,201998439.36,4526.88,9051.53
36,46070,Tedesco Group,338,SSS,4508.5,56346.96,51838.46,320103.5,35.5,36.78
37,46070,Tedesco Group,579,TTT,4641354.86,13363421.520000001,8722066.66,287764001.32,6059.21,8722.86
38,46204,Renner,786,DDD,1999531.5,39786834.78,37787303.28,135968142.0,7015.9,8201.78
39,46894,"Pitts, Stokes and Hardin",787,UUU,1949.48,217482.72000000003,215533.24000000002,187150.08,42.38,94.64
40,46894,"Pitts, Stokes and Hardin",661,HHH,312.39,15817.9,15505.51,25615.98,3.51,4.13
41,48238,Tozzo Group,551,MMM,2199.4199999999996,52961.24,50761.82,114369.83,40.73,34.57
42,48467,Brandt Ltd,270,XXX,2478.9300000000003,180393.0,177914.07,215666.91,43.49,78.5
43,48580,Patel LLC,534,XXX,27181.12,356098.08,328916.96,1793953.92,468.64,464.88
44,48580,Patel LLC,885,SSS,2601.8999999999996,111575.56,108973.66,161317.79,41.3,72.83
45,51293,Cusano s.r.l.,318,WWW,28827.42,437004.95999999996,408177.54,2882742.0,203.01,278.88
46,51293,Cusano s.r.l.,911,WWW,1178927.1199999999,21293359.919999994,20114432.799999993,67198845.83,3594.29,3088.68
47,52082,Mcfarland-Gill,335,LLL,920.75,11995.56,11074.81,79184.5,7.25,7.83
48,52082,Mcfarland-Gill,533,GGG,77230.15000000001,1507587.58,1430357.4300000002,5019959.75,908.59,1968.13
49,54148,"Riley, Harding and Johnson",248,ZZZ,4554.55,151515.0,146960.45,419018.6,92.95,96.2
50,54148,"Riley, Harding and Johnson",338,SSS,2348.68,112693.92,110345.24,187894.4,33.08,36.78
51,55441,"Boezio, Galvani e Mazzeo Group",827,JJJ,27681.33,1570682.9999999995,1543001.6699999995,2491319.7,111.17,136.7
52,61565,Barcaccia Group,285,VVV,6203.47,473870.58,467667.11000000004,607940.06,364.91,618.63
53,61565,Barcaccia Group,701,AAA,2053.92,22451.46,20397.54,166367.52,11.67,9.77
54,65468,Devaux SARL,195,MMM,70148.97,304990.56,234841.59,4559683.05,152.83,132.72
55,65468,Devaux SARL,418,WWW,126139.09,213315.9,87176.81,10721822.65,107.17,90.58
56,68240,Mary Breton S.A.,856,AAA,7708.65,192687.3,184978.65,747739.05,90.69,83.85
57,68814,Patterson-Barnes,783,RRR,5617.6,171902.63999999998,166285.03999999998,460643.2,140.44,157.42
58,68814,Patterson-Barnes,804,HHH,1626.24,17970.36,16344.12,141482.88,9.24,7.82
59,70443,Tamburini-Endrizzi Group,641,FFF,189466.53,6805733.82,6616267.29,17241454.23,3715.03,8884.77
60,70443,Tamburini-Endrizzi Group,217,ZZZ,71307.94,675106.4400000001,603798.5,6417714.6,373.34,440.67
61,70468,Giammusso SPA,772,MMM,10291156.38,40537593.24,30246436.86,555722444.52,8956.62,8820.19
62,70468,Giammusso SPA,812,VVV,183.68,2918.46,2734.78,11571.84,0.56,1.27
63,71574,Weller,553,HHH,14.040000000000001,317.14,303.09999999999997,1221.48,1.08,1.57
64,71574,Weller,742,OOO,399111.0,24454966.6,24055855.6,31130658.0,3991.11,6080.3
65,71597,Roccabonella-Lamborghini e figli,483,ZZZ,1043538.1799999999,46856963.019999996,45813424.839999996,97049050.74,3700.49,8738.71
66,71819,Hale-Robinson,901,TTT,4585.91,77274.08,72688.17,316427.78,24.01,25.22
67,71916,Wirth AG,549,LLL,42627.9,252764.67999999996,210136.77999999997,3836511.0,55.65,47.14
68,72315,Phillips and Sons,139,AAA,24725.46,1325042.1199999999,1300316.66,1730782.2,537.51,864.91
69,72315,Phillips and Sons,752,QQQ,903895.2000000001,12309244.700000001,11405349.500000002,48810340.8,10389.6,9396.37
70,74432,Deschamps,545,UUU,658881.44,24779012.28,24120130.84,47439463.67,5882.87,5391.43
71,74432,Deschamps,728,PPP,2760.9399999999996,38859.18,36098.24,157373.57,9.62,16.91
72,75444,Schacht KGaA,446,LLL,445617.89999999997,27722227.780000005,27276609.880000006,34758196.19,3808.7,7155.97
73,76443,Duval,140,VVV,502.5799999999999,10335.3,9832.72,40206.39,38.66,43.98
74,76443,Duval,938,ZZZ,154.84,5791.4800000000005,5636.64,11613.0,3.16,2.68
75,77743,"Cianciolo, Leblanc e Petrucelli s.r.l.",473,PPP,3818.88,264515.12,260696.24,286416.0,53.04,86.33
76,81423,Eco s.r.l.,781,ZZZ,125102.23,7546517.100000001,7421414.87,7881440.48,4313.87,9851.85
77,81423,Eco s.r.l.,933,CCC,36775.29,2168699.2,2131923.91,2905247.91,465.51,566.24
78,82144,Scott-Hughes,316,MMM,12581.78,575825.18,563243.4,666834.34,75.34,107.39
79,87695,"Ricci, Omma e Tirabassi SPA",177,ZZZ,299.96999999999997,7721.279999999999,7421.309999999999,27597.24,3.03,3.36
80,87695,"Ricci, Omma e Tirabassi SPA",858,QQQ,370724.85,1549403.52,1178678.67,25209289.79,322.65,674.24
81,87916,Ball PLC,582,TTT,2305.38,54079.08,51773.700000000004,136017.42,4.62,7.73
82,90236,Schönland AG,679,JJJ,93327.32,2260495.3800000004,2167168.0600000005,8212804.16,1261.18,2029.17
83,90942,Richards Group,108,TTT,486799.74,9289540.89,8802741.15,34075981.79,5469.66,5186.79
84,90942,Richards Group,291,FFF,1493.1,74501.16,73008.06,82120.5,33.18,48.63
85,94512,Breton Delorme SA,173,WWW,213.86,9766.5,9552.64,14542.48,2.89,4.25
86,94512,Breton Delorme SA,571,ZZZ,95.4,4504.08,4408.68,7727.4,1.8,1.96
87,99762,Hammond Inc,801,SSS,4165.32,73030.44,68865.12,220761.96,10.11,13.62
