,From,To,From_Table,To_Table,Weight,Transportation_Cost,Transportation_Distance,Transportation_Duration,Transportation_Type,Rental price,price,profit_margin (%),market_share (%),Annual_sales,Distance,Edge_Name
37,1618,129,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
38,321,1619,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
39,1619,98,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
40,308,1620,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
41,1620,137,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
42,413,1621,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
43,1621,64,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
44,347,1622,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
45,1622,49,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
46,305,1623,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
47,1623,104,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
48,374,1624,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
49,1624,124,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
50,430,1625,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
51,1625,138,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
52,425,1626,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
53,1626,23,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
54,315,1627,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
55,1627,69,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
56,488,1628,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
57,1628,50,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
58,562,1629,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
59,1629,14,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
60,530,1630,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
61,1630,145,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
62,397,1631,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
63,1631,71,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
64,513,1632,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
65,1632,97,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
66,575,1633,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
67,1633,139,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
68,381,1634,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
69,1634,13,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
70,509,1635,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
71,1635,37,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
72,470,1636,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
73,1636,33,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
74,530,1637,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
75,1637,147,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
76,465,1638,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
77,1638,59,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
78,588,1639,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
79,1639,104,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
80,470,1640,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
81,1640,127,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
82,564,1641,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
83,1641,75,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
84,490,1642,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
85,1642,102,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
86,593,1643,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
87,1643,14,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
88,351,1644,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
89,1644,131,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
90,425,1645,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
91,1645,73,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
92,539,1646,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
93,1646,41,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
94,433,1647,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
95,1647,118,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
96,531,1648,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
97,1648,2,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
98,525,1649,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
99,1649,6,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
100,465,1650,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
101,1650,48,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
102,475,1651,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
103,1651,64,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
104,579,1652,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
105,1652,105,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
106,397,1653,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
107,1653,117,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
108,599,1654,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
109,1654,63,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
110,599,1655,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
111,1655,101,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
112,416,1656,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
113,1656,132,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
114,406,1657,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
115,1657,144,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
116,363,1658,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
117,1658,96,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
118,559,1659,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
119,1659,117,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
120,527,1660,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
121,1660,17,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
122,414,1661,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
123,1661,142,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
124,465,1662,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
125,1662,36,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
126,433,1663,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
127,1663,34,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
128,580,1664,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
129,1664,104,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
130,462,1665,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
131,1665,80,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
132,356,1666,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
133,1666,126,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
134,389,1667,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
135,1667,115,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
136,375,1668,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
137,1668,126,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
138,372,1669,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
139,1669,70,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
140,488,1670,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
141,1670,88,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
142,468,1671,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
143,1671,53,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
144,593,1672,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
145,1672,82,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
146,348,1673,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
147,1673,124,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
148,379,1674,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
149,1674,95,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
150,424,1675,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
151,1675,130,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
152,540,1676,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
153,1676,149,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
154,404,1677,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
155,1677,2,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
156,508,1678,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
157,1678,30,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
158,508,1679,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
159,1679,2,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
160,546,1680,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
161,1680,101,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
162,397,1681,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
163,1681,147,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
164,347,1682,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
165,1682,85,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
166,406,1683,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
167,1683,64,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
168,426,1684,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
169,1684,147,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
170,435,1685,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
171,1685,39,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
172,430,1686,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
173,1686,117,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
174,546,1687,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
175,1687,134,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
176,424,1688,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
177,1688,37,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
178,513,1689,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
179,1689,42,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
180,459,1690,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
181,1690,59,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
182,319,1691,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
183,1691,95,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
184,471,1692,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
185,1692,14,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
186,411,1693,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
187,1693,126,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
188,424,1694,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
189,1694,113,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
190,559,1695,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
191,1695,119,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
192,527,1696,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
193,1696,35,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
194,458,1697,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
195,1697,110,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
196,330,1698,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
197,1698,39,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
198,559,1699,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
199,1699,113,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
200,419,1700,Supplier,Internaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,internaltransactions
201,1700,459,Internaltransactions,Supplier,70.0,0.0,0.0,0.0,N/A,0,0.0,0,40,5.21,0.0,internaltransactions
202,474,1701,Supplier,Internaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,internaltransactions
203,1701,593,Internaltransactions,Supplier,70.0,0.0,0.0,0.0,N/A,0,0.0,0,35,4.46,0.0,internaltransactions
204,553,1702,Supplier,Internaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,internaltransactions
205,1702,546,Internaltransactions,Supplier,85.0,0.0,0.0,0.0,N/A,0,0.0,0,70,29.23,0.0,internaltransactions
206,503,1703,Supplier,Internaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,internaltransactions
207,1703,559,Internaltransactions,Supplier,85.0,0.0,0.0,0.0,N/A,0,0.0,0,96,19.24,0.0,internaltransactions
208,397,1704,Supplier,Internaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,internaltransactions
209,1704,562,Internaltransactions,Supplier,70.0,0.0,0.0,0.0,N/A,0,0.0,0,49,64.96,0.0,internaltransactions
210,458,1705,Supplier,Internaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,internaltransactions
211,1705,459,Internaltransactions,Supplier,70.0,0.0,0.0,0.0,N/A,0,0.0,0,40,5.21,0.0,internaltransactions
212,370,1706,Supplier,Internaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,internaltransactions
213,1706,381,Internaltransactions,Supplier,70.0,0.0,0.0,0.0,N/A,0,0.0,0,14,122.57,0.0,internaltransactions
