Manf_id,Different_suppliers,Product_id,Factory_id,yield (%),target (%)
6627,"(99762, 36417, 61570, 26533, 54148, 20226, 71574, 71056, 11790)",804,68814,13,87
2219,"(13362,)",856,68240,27,97
3564,"(10731, 36417, 55441, 56104, 74318, 61565)",945,24646,25,93
3719,"(79389, 57109, 71597, 74432, 71916, 52160)",108,90942,20,70
2212,"(19072, 43160, 71574, 24451, 10161, 21166, 92698, 65468, 52160)",582,87916,14,59
9730,"(54921, 48238, 90942, 97142, 36417, 86580, 34967, 74432, 19072, 30864)",701,61565,13,81
4924,"(43284, 87695, 77743, 68357, 71819)",976,71574,37,82
8763,"(57109,)",661,46894,43,82
6180,"(79389, 78265, 71574)",783,68814,27,82
9047,"(51293, 87916, 65468)",835,16265,28,73
8913,"(11283, 23640, 96293, 86815, 86580, 58976, 16265, 43284, 90942)",318,51293,11,100
8863,"(97142, 74318, 70443, 51293, 82144, 42179)",254,11790,21,55
7895,"(55787, 94512, 46070, 26533, 81423, 43691)",731,13283,27,79
3033,"(55787, 13951, 46894, 96293)",140,76443,17,80
6422,"(70443, 42179, 51293)",858,40597,37,55
8350,"(52082,)",551,48238,28,52
1087,"(28042, 21232, 52082, 51293)",950,11186,40,65
6340,"(43160, 11283, 43284, 71916, 74432, 55787)",679,90236,15,88
7617,"(58976, 30864, 78265)",772,70468,4,54
6161,"(11186, 74432, 36985)",786,46204,17,68
9845,"(26533, 35266, 21166, 58976, 92698)",533,52082,9,65
4990,"(85240, 89467, 68357)",952,14125,45,89
8773,"(77743, 61570, 85240, 29277, 13920, 55441)",270,48467,40,87
1706,"(48467, 24451, 97142, 15367, 91465, 99762, 23640)",173,94512,31,68
7335,"(82144, 43160, 19072, 24646, 75444)",560,52082,30,54
1798,"(29277, 18997, 71916, 26533)",363,30692,36,55
5893,"(35266, 20226, 30864, 68615, 43284, 42091, 71819)",446,75444,33,78
1321,"(19072, 16265, 90942, 43691, 24451)",285,61565,44,98
8283,"(85240, 30864, 46942)",740,24646,10,79
4405,"(68615, 86580, 13362, 42179)",248,54148,32,92
4659,"(27057, 51293, 57551, 43160, 70468, 48467, 18952, 92698, 46070, 74432)",827,55441,46,90
5426,"(40898, 24646)",752,72315,15,54
6916,"(13951, 78265, 54921)",977,21232,6,72
9401,"(57551, 96293, 52160, 24451, 74432, 68357, 21166, 52647, 40898)",320,29277,47,86
3630,"(55441, 48238, 68814, 24646, 40597, 36243)",177,87695,23,92
5962,"(70468, 42179, 54148, 81423, 68240, 36417, 24646)",335,52082,12,86
3509,"(55441, 13920)",125,13362,11,94
3411,"(71056, 42179, 74318)",139,72315,33,70
2584,"(36985, 46942, 40898)",545,74432,41,72
1510,"(94512, 40898, 15367)",160,43160,49,100
1538,"(11283, 46942, 28042, 91465, 10161, 71916, 43691, 51293, 21166, 55441)",781,81423,26,63
1520,"(55441, 18952, 23640, 43691)",281,13951,15,80
5934,"(11790, 71056, 87695, 46204, 70468, 55441, 74318, 52160, 81423)",787,46894,49,96
3144,"(92698, 55787)",473,77743,42,75
2916,"(46204, 10731, 18952, 54921, 23640, 61565, 54148, 11790, 19072, 92698)",634,24451,42,60
4968,"(42091, 90942)",238,34967,5,91
8055,"(43691, 28873, 42091, 65468)",579,46070,2,62
9038,"(19878, 46894, 57551, 42091, 36985, 35841, 16265)",742,27057,28,56
9023,"(52160, 34967, 71819)",553,71574,15,87
9223,"(70468,)",418,30864,5,72
4212,"(36985, 36243, 54921, 71574, 42091, 13362, 79389, 97142)",534,13920,27,92
1292,"(46204, 87916, 58976, 19878, 82144)",616,13951,49,80
8265,"(82144, 52647, 13362)",534,48580,13,66
4908,"(87916, 71597, 43284)",641,70443,15,91
1668,"(87695, 57551, 19878, 92698, 54148, 13283, 71056, 34967)",112,14125,49,78
6192,"(46070, 46894)",483,71597,19,93
7909,"(55787, 10161, 46204, 68814, 55441, 61565, 20226)",576,30864,48,62
7874,"(52160,)",675,28873,8,84
6239,"(71916, 43284, 74432, 97142)",897,15367,40,71
5628,"(71597, 55787, 11283, 11790, 54921, 94512, 10161, 42179, 48467)",338,46070,12,71
9476,"(70468, 87916, 48580, 30864)",358,18952,42,71
