fac_id,supplier_id,market_cap,country,city_name,currency,number_of_employees,Annual_sales
851489,58047,"34    6.152690e+09
Name: market_capitalization ($), dtype: float64",New Caledonia,NA,Dollars,213,880.69
793349,55515,"115    8.777363e+10
Name: market_capitalization ($), dtype: float64",Tuvalu,Nanumaga,Dollars,726,55.28
535356,55515,"115    3.920425e+10
Name: market_capitalization ($), dtype: float64",Greece,Ágion Óros,Dollars,979,8.63
389557,55515,"115    2.120669e+10
Name: market_capitalization ($), dtype: float64","Micronesia, Federated States of",Yap,Dollars,122,1.63
653283,55515,"115    8.244529e+09
Name: market_capitalization ($), dtype: float64",Benin,Couffo,Dollars,146,8.76
414346,55515,"115    2.322244e+10
Name: market_capitalization ($), dtype: float64",Sri Lanka,Hambantota,Dollars,476,4.52
711280,55515,"115    1.387174e+10
Name: market_capitalization ($), dtype: float64","Korea, Republic of",Sejong,Dollars,155,4175.53
516596,55515,"115    1.362402e+10
Name: market_capitalization ($), dtype: float64",El Salvador,Cuscatlán,Dollars,555,9129.59
972424,55515,"115    4.173050e+09
Name: market_capitalization ($), dtype: float64",Senegal,Saint-Louis,Dollars,716,6583.8
121900,55515,"115    1.427234e+11
Name: market_capitalization ($), dtype: float64",Samoa,Va'a-o-Fonoti,Dollars,933,6.31
461027,55515,"115    1.753849e+10
Name: market_capitalization ($), dtype: float64",Benin,Borgou,Dollars,717,93.29
580721,52130,"247    1.029508e+11
Name: market_capitalization ($), dtype: float64",Bulgaria,Dobrich,Dollars,457,7.98
503560,52130,"247    7.301830e+10
Name: market_capitalization ($), dtype: float64",Netherlands,Overijssel,Dollars,367,4.27
150976,52130,"247    9.270999e+10
Name: market_capitalization ($), dtype: float64",Romania,Prahova,Dollars,424,5737.47
339786,52130,"247    1.271950e+11
Name: market_capitalization ($), dtype: float64",Somalia,Hiiraan,Dollars,812,13.81
852614,52130,"247    4.824898e+10
Name: market_capitalization ($), dtype: float64",South Georgia and the South Sandwich Islands,NA,Dollars,888,5.34
565184,52130,"247    4.917727e+10
Name: market_capitalization ($), dtype: float64",Malta,Mdina,Dollars,407,4.72
491183,52130,"247    2.194975e+09
Name: market_capitalization ($), dtype: float64","Micronesia, Federated States of",Chuuk,Dollars,489,6954.28
528309,52130,"247    8.129618e+10
Name: market_capitalization ($), dtype: float64",New Caledonia,NA,Dollars,561,24.54
865103,52130,"247    1.874094e+11
Name: market_capitalization ($), dtype: float64",Slovenia,Gorenja vas-Poljane,Dollars,267,49.14
733257,52130,"247    4.289684e+10
Name: market_capitalization ($), dtype: float64",Bahrain,Al ‘Āşimah,Dollars,412,5.77
712010,58199,"13    9.933996e+10
Name: market_capitalization ($), dtype: float64",Romania,Covasna,Dollars,413,67.34
345446,58199,"13    9.542311e+10
Name: market_capitalization ($), dtype: float64",Sweden,Uppsala län [SE-03],Dollars,758,515.5
149876,58199,"13    2.739035e+10
Name: market_capitalization ($), dtype: float64",Saint Vincent and the Grenadines,Saint Andrew,Dollars,102,5612.41
948249,58199,"13    7.253759e+10
Name: market_capitalization ($), dtype: float64",Sweden,Örebro län [SE-18],Dollars,799,455.43
932121,58199,"13    3.171481e+11
Name: market_capitalization ($), dtype: float64",Netherlands,Noord-Holland,Dollars,797,759.56
483163,58199,"13    1.353319e+10
Name: market_capitalization ($), dtype: float64",Guadeloupe,NA,Dollars,387,82.87
656448,58199,"13    4.279182e+10
Name: market_capitalization ($), dtype: float64","Virgin Islands, British",NA,Dollars,209,471.56
171612,58199,"13    1.355636e+11
Name: market_capitalization ($), dtype: float64",Germany,Schleswig-Holstein,Dollars,364,1623.54
780346,58199,"13    3.628970e+10
Name: market_capitalization ($), dtype: float64",Poland,Wielkopolskie,Dollars,819,397.28
932066,58199,"13    2.757876e+10
Name: market_capitalization ($), dtype: float64",Samoa,Palauli,Dollars,621,5.18
191437,41112,"144    1.522183e+11
Name: market_capitalization ($), dtype: float64",Oman,Janūb ash Sharqīyah,Dollars,684,228.45
607099,41112,"144    2.008014e+10
Name: market_capitalization ($), dtype: float64",Kazakhstan,Kostanajskaja oblast',Dollars,982,7.12
682036,41112,"144    1.603118e+11
Name: market_capitalization ($), dtype: float64",Cayman Islands,NA,Dollars,147,9866.97
859468,41112,"144    3.518417e+10
Name: market_capitalization ($), dtype: float64",Kiribati,Phoenix Islands,Dollars,281,7756.26
161052,41112,"144    3.405858e+10
Name: market_capitalization ($), dtype: float64",Namibia,Zambezi,Dollars,486,2.48
803289,41112,"144    8.616663e+10
Name: market_capitalization ($), dtype: float64",Turkey,Trabzon,Dollars,968,4915.77
501114,41112,"144    7.097785e+10
Name: market_capitalization ($), dtype: float64",Curaçao,NA,Dollars,182,907.58
358967,41112,"144    1.525320e+11
Name: market_capitalization ($), dtype: float64",Chile,Magallanes,Dollars,634,6.96
191064,41112,"144    1.626425e+11
Name: market_capitalization ($), dtype: float64",American Samoa,NA,Dollars,698,461.26
905519,41112,"144    8.678666e+10
Name: market_capitalization ($), dtype: float64",San Marino,Domagnano,Dollars,472,761.74
559895,58914,"252    3.444083e+10
Name: market_capitalization ($), dtype: float64",Cocos (Keeling) Islands,NA,Dollars,197,4464.17
603035,58914,"252    1.247385e+09
Name: market_capitalization ($), dtype: float64",Cocos (Keeling) Islands,NA,Dollars,199,77.92
174324,58914,"252    1.478748e+10
Name: market_capitalization ($), dtype: float64",Guam,NA,Dollars,747,4505.14
192478,58914,"252    1.247136e+09
Name: market_capitalization ($), dtype: float64",Niue,NA,Dollars,146,70.67
515480,58914,"252    1.746263e+10
Name: market_capitalization ($), dtype: float64",Guinea-Bissau,Sul,Dollars,521,4.37
287340,58914,"252    6.823904e+09
Name: market_capitalization ($), dtype: float64",Switzerland,Zug,Dollars,493,3.59
485053,58914,"252    2.958144e+09
Name: market_capitalization ($), dtype: float64",Heard Island and McDonald Islands,NA,Dollars,330,60.9
221751,58914,"252    5.546450e+10
Name: market_capitalization ($), dtype: float64",Uruguay,Paysandú,Dollars,302,3080.38
158876,58914,"252    2.449992e+10
Name: market_capitalization ($), dtype: float64",Ethiopia,Addis Ababa,Dollars,437,2099.71
401957,58914,"252    9.388894e+09
Name: market_capitalization ($), dtype: float64",Djibouti,Tadjourah,Dollars,747,60.65
751308,60591,"100    3.485946e+10
Name: market_capitalization ($), dtype: float64",Sri Lanka,North Western Province,Dollars,119,58.66
658294,60591,"100    1.850593e+10
Name: market_capitalization ($), dtype: float64",Saint Pierre and Miquelon,NA,Dollars,222,3405.96
490832,60591,"100    2.546616e+10
Name: market_capitalization ($), dtype: float64","Saint Helena, Ascension and Tristan da Cunha",Tristan da Cunha,Dollars,860,3.43
635108,60591,"100    2.996629e+09
Name: market_capitalization ($), dtype: float64",Malaysia,Kedah,Dollars,321,5085.88
697613,60591,"100    2.360476e+10
Name: market_capitalization ($), dtype: float64",United Kingdom,Torbay,Dollars,355,13.91
924340,60591,"100    1.115153e+11
Name: market_capitalization ($), dtype: float64",Latvia,Līgatnes novads,Dollars,711,25.38
171147,60591,"100    1.031463e+10
Name: market_capitalization ($), dtype: float64",Seychelles,Mont Fleuri,Dollars,879,1549.61
929334,60591,"100    1.073164e+10
Name: market_capitalization ($), dtype: float64","Virgin Islands, British",NA,Dollars,982,2.74
127891,60591,"100    5.201119e+10
Name: market_capitalization ($), dtype: float64",Qatar,Ar Rayyān,Dollars,317,2651.13
749497,60591,"100    5.062603e+10
Name: market_capitalization ($), dtype: float64",Saint Martin (French part),NA,Dollars,549,1771.45
120040,46676,"84    8.907643e+10
Name: market_capitalization ($), dtype: float64",Nigeria,Ebonyi,Dollars,255,93.11
691002,46676,"84    3.873540e+10
Name: market_capitalization ($), dtype: float64",Monaco,Moneghetti,Dollars,863,4.42
470322,46676,"84    9.888543e+10
Name: market_capitalization ($), dtype: float64",Comoros,Mohéli,Dollars,630,58.68
556559,46676,"84    4.788451e+07
Name: market_capitalization ($), dtype: float64",Western Sahara,NA,Dollars,959,8.21
442005,46676,"84    2.063344e+10
Name: market_capitalization ($), dtype: float64",Gabon,Estuaire,Dollars,180,5.34
843403,46676,"84    2.426073e+10
Name: market_capitalization ($), dtype: float64",Martinique,NA,Dollars,144,68.35
212104,46676,"84    9.515899e+09
Name: market_capitalization ($), dtype: float64",Lebanon,Ash Shimāl,Dollars,448,7.56
913421,46676,"84    4.771429e+10
Name: market_capitalization ($), dtype: float64",Saint Martin (French part),NA,Dollars,567,4.29
964576,46676,"84    3.342466e+09
Name: market_capitalization ($), dtype: float64",Mauritius,Savanne,Dollars,835,3.87
191876,46676,"84    3.188078e+08
Name: market_capitalization ($), dtype: float64",Chad,Tibastī,Dollars,807,3.71
279334,40868,"1    1.108678e+10
Name: market_capitalization ($), dtype: float64",Mauritania,Hodh ech Chargui,Dollars,305,14.81
706796,40868,"1    3.060539e+09
Name: market_capitalization ($), dtype: float64",Sri Lanka,Colombo,Dollars,357,599.96
256215,40868,"1    9.681281e+10
Name: market_capitalization ($), dtype: float64",Anguilla,NA,Dollars,557,526.54
350227,40868,"1    1.073077e+11
Name: market_capitalization ($), dtype: float64",Gambia,Central River,Dollars,669,8.52
257636,40868,"1    6.462096e+10
Name: market_capitalization ($), dtype: float64",Peru,Madre de Dios,Dollars,270,2675.51
365188,40868,"1    2.663318e+11
Name: market_capitalization ($), dtype: float64",Puerto Rico,NA,Dollars,459,87.59
446234,40868,"1    1.617624e+09
Name: market_capitalization ($), dtype: float64",Equatorial Guinea,Bioko Sud,Dollars,582,52.13
342233,40868,"1    3.057451e+10
Name: market_capitalization ($), dtype: float64",Gabon,Ogooué-Ivindo,Dollars,494,9807.3
801355,40868,"1    1.711542e+11
Name: market_capitalization ($), dtype: float64",Jersey,NA,Dollars,432,5067.68
242638,40868,"1    1.642505e+11
Name: market_capitalization ($), dtype: float64",Denmark,Hovedstaden,Dollars,828,457.7
284974,85351,"20    9.274790e+10
Name: market_capitalization ($), dtype: float64",Bahrain,Al ‘Āşimah,Dollars,704,508.52
927776,85351,"20    1.958649e+11
Name: market_capitalization ($), dtype: float64",New Caledonia,NA,Dollars,143,593.58
416451,85351,"20    8.698485e+10
Name: market_capitalization ($), dtype: float64",Burkina Faso,Sahel,Dollars,963,686.19
147869,85351,"20    1.704100e+10
Name: market_capitalization ($), dtype: float64","Congo, The Democratic Republic of the",Lualaba,Dollars,522,3.82
151080,85351,"20    7.768675e+10
Name: market_capitalization ($), dtype: float64",Norway,Romssa ja Finnmárkku,Dollars,785,6410.56
619508,85351,"20    1.620285e+10
Name: market_capitalization ($), dtype: float64",Cambodia,Svaay Rieng,Dollars,789,72.4
718609,85351,"20    9.122563e+09
Name: market_capitalization ($), dtype: float64",Japan,Ehime,Dollars,484,644.88
662012,85351,"20    8.553940e+10
Name: market_capitalization ($), dtype: float64",Sweden,Kalmar län [SE-08],Dollars,235,256.76
402760,85351,"20    5.402675e+10
Name: market_capitalization ($), dtype: float64",Uzbekistan,Qoraqalpog‘iston Respublikasi,Dollars,847,5.96
405348,85351,"20    1.268002e+11
Name: market_capitalization ($), dtype: float64",Norfolk Island,NA,Dollars,349,2833.22
845905,27988,"265    7.185273e+07
Name: market_capitalization ($), dtype: float64",Sint Maarten (Dutch part),NA,Dollars,232,8.94
962401,27988,"265    3.846911e+07
Name: market_capitalization ($), dtype: float64",Saint Vincent and the Grenadines,Grenadines,Dollars,584,4677.52
800956,27988,"265    1.669256e+08
Name: market_capitalization ($), dtype: float64",Norfolk Island,NA,Dollars,888,7.39
805216,27988,"265    2.107203e+08
Name: market_capitalization ($), dtype: float64",Portugal,Leiria,Dollars,311,67.28
676920,27988,"265    1.147388e+08
Name: market_capitalization ($), dtype: float64",Barbados,Saint George,Dollars,420,41.2
273684,27988,"265    5.562882e+07
Name: market_capitalization ($), dtype: float64",Croatia,Koprivničko-križevačka županija,Dollars,854,128.88
883448,27988,"265    1.068229e+08
Name: market_capitalization ($), dtype: float64",Sao Tome and Principe,Lobata,Dollars,639,99.44
137313,27988,"265    8.933962e+07
Name: market_capitalization ($), dtype: float64",Slovakia,Bratislavský kraj,Dollars,511,87.74
555638,27988,"265    1.989717e+07
Name: market_capitalization ($), dtype: float64","Bolivia, Plurinational State of",Chuquisaca,Dollars,427,3.74
237624,27988,"265    8.513100e+07
Name: market_capitalization ($), dtype: float64",Guinea,Dubréka,Dollars,905,4.11
251231,68562,"167    1.057826e+11
Name: market_capitalization ($), dtype: float64",Israel,H̱efa,Dollars,154,802.39
292895,68562,"167    5.472600e+10
Name: market_capitalization ($), dtype: float64",Slovakia,Prešovský kraj,Dollars,542,9178.34
897878,68562,"167    1.668238e+10
Name: market_capitalization ($), dtype: float64",Brazil,Sergipe,Dollars,585,580.34
393067,68562,"167    6.820331e+08
Name: market_capitalization ($), dtype: float64",Serbia,Severnobački okrug,Dollars,467,959.38
433408,68562,"167    1.182515e+10
Name: market_capitalization ($), dtype: float64",Latvia,Liepāja,Dollars,156,54.25
138348,68562,"167    6.189360e+10
Name: market_capitalization ($), dtype: float64",Comoros,Mohéli,Dollars,863,6.82
751895,68562,"167    7.772355e+09
Name: market_capitalization ($), dtype: float64",Niger,Tillabéri,Dollars,888,609.2
337781,68562,"167    7.456740e+10
Name: market_capitalization ($), dtype: float64",Hong Kong,NA,Dollars,972,2.33
168452,68562,"167    6.891768e+10
Name: market_capitalization ($), dtype: float64",Italy,Toscana,Dollars,251,6303.99
419112,68562,"167    9.871635e+10
Name: market_capitalization ($), dtype: float64",Argentina,Salta,Dollars,339,345.42
962757,68081,"27    4.778332e+10
Name: market_capitalization ($), dtype: float64",South Sudan,Western Equatoria,Dollars,984,3607.76
260205,68081,"27    7.766631e+10
Name: market_capitalization ($), dtype: float64",Wallis and Futuna,Alo,Dollars,431,27.72
394315,68081,"27    5.633072e+09
Name: market_capitalization ($), dtype: float64",Nauru,Aiwo,Dollars,328,1323.45
135472,68081,"27    6.415598e+09
Name: market_capitalization ($), dtype: float64",Slovakia,Banskobystrický kraj,Dollars,965,9.24
193358,68081,"27    2.093718e+10
Name: market_capitalization ($), dtype: float64",Gambia,Lower River,Dollars,501,4.45
903480,68081,"27    9.536289e+09
Name: market_capitalization ($), dtype: float64",Malta,Fontana,Dollars,441,55.32
459940,68081,"27    2.583495e+10
Name: market_capitalization ($), dtype: float64",Latvia,Jaunjelgavas novads,Dollars,886,9563.23
498867,68081,"27    1.585549e+10
Name: market_capitalization ($), dtype: float64",France,Doubs,Dollars,587,993.56
606338,68081,"27    2.797401e+09
Name: market_capitalization ($), dtype: float64",Saint Kitts and Nevis,Saint George Gingerland,Dollars,240,7170.1
400470,68081,"27    3.495913e+10
Name: market_capitalization ($), dtype: float64",Eritrea,Gash-Barka,Dollars,165,63.29
841643,92416,"60    6.127001e+10
Name: market_capitalization ($), dtype: float64","Virgin Islands, U.S.",NA,Dollars,592,4249.23
342396,92416,"60    7.446067e+09
Name: market_capitalization ($), dtype: float64",Namibia,Erongo,Dollars,583,8495.89
273673,92416,"60    8.791691e+09
Name: market_capitalization ($), dtype: float64",New Zealand,Waikato,Dollars,844,686.14
216237,92416,"60    5.013601e+09
Name: market_capitalization ($), dtype: float64",Burundi,Rutana,Dollars,155,1088.35
198143,92416,"60    1.573403e+10
Name: market_capitalization ($), dtype: float64",Russian Federation,Sankt-Peterburg,Dollars,234,860.35
172163,92416,"60    1.222604e+10
Name: market_capitalization ($), dtype: float64",Mauritania,Gorgol,Dollars,230,4.36
106636,92416,"60    5.153590e+10
Name: market_capitalization ($), dtype: float64",Namibia,Khomas,Dollars,312,8.36
609459,92416,"60    3.937796e+10
Name: market_capitalization ($), dtype: float64",Bhutan,Punakha,Dollars,902,3.78
173120,92416,"60    6.686048e+09
Name: market_capitalization ($), dtype: float64",Ireland,Connaught,Dollars,516,2069.24
211163,92416,"60    7.081299e+09
Name: market_capitalization ($), dtype: float64",Brazil,Tocantins,Dollars,975,3667.42
432290,39402,"250    1.051857e+10
Name: market_capitalization ($), dtype: float64",Spain,Las Palmas,Dollars,974,11.87
995204,39402,"250    5.461498e+09
Name: market_capitalization ($), dtype: float64",Puerto Rico,NA,Dollars,829,13.74
668048,39402,"250    2.077296e+10
Name: market_capitalization ($), dtype: float64",Zimbabwe,Manicaland,Dollars,101,530.18
963443,39402,"250    1.280889e+11
Name: market_capitalization ($), dtype: float64",Paraguay,Alto Paraná,Dollars,284,91.79
919627,39402,"250    1.886135e+10
Name: market_capitalization ($), dtype: float64",Syrian Arab Republic,Al Qunayţirah,Dollars,952,24.92
259646,39402,"250    4.251389e+11
Name: market_capitalization ($), dtype: float64",Kenya,Nyeri,Dollars,593,8728.5
589385,39402,"250    1.853713e+11
Name: market_capitalization ($), dtype: float64",Netherlands,Flevoland,Dollars,678,36.39
751641,39402,"250    5.465447e+10
Name: market_capitalization ($), dtype: float64",Algeria,Boumerdès,Dollars,947,7.27
942509,39402,"250    9.599114e+10
Name: market_capitalization ($), dtype: float64",Cameroon,East,Dollars,612,89.26
572290,39402,"250    1.906392e+10
Name: market_capitalization ($), dtype: float64",Ireland,Kilkenny,Dollars,326,78.92
689796,49681,"92    4.277468e+10
Name: market_capitalization ($), dtype: float64",Poland,Opolskie,Dollars,660,417.58
782968,49681,"92    5.248924e+09
Name: market_capitalization ($), dtype: float64",Ukraine,Donetska oblast,Dollars,281,53.38
967766,49681,"92    3.136515e+10
Name: market_capitalization ($), dtype: float64",Samoa,Gagaifomauga,Dollars,765,551.5
325660,49681,"92    3.733045e+10
Name: market_capitalization ($), dtype: float64",Equatorial Guinea,Região Insular,Dollars,857,3956.55
336739,49681,"92    6.410719e+08
Name: market_capitalization ($), dtype: float64",Lesotho,Quthing,Dollars,797,278.98
537436,49681,"92    4.170348e+09
Name: market_capitalization ($), dtype: float64",Japan,Tokyo,Dollars,488,742.8
846650,49681,"92    1.182324e+10
Name: market_capitalization ($), dtype: float64",Poland,Mazowieckie,Dollars,767,5061.93
488126,49681,"92    6.618831e+09
Name: market_capitalization ($), dtype: float64",Australia,New South Wales,Dollars,582,4840.39
846062,49681,"92    1.980260e+09
Name: market_capitalization ($), dtype: float64",Pitcairn,NA,Dollars,662,7.25
903978,49681,"92    2.474618e+09
Name: market_capitalization ($), dtype: float64",Gibraltar,NA,Dollars,187,4.97
625629,51207,"291    2.984582e+09
Name: market_capitalization ($), dtype: float64",France,Vaucluse,Dollars,143,90.63
442831,51207,"291    1.549208e+10
Name: market_capitalization ($), dtype: float64",Afghanistan,Kābul,Dollars,524,589.14
924228,51207,"291    2.777657e+10
Name: market_capitalization ($), dtype: float64","Micronesia, Federated States of",Pohnpei,Dollars,290,131.64
708303,51207,"291    3.990212e+09
Name: market_capitalization ($), dtype: float64",Seychelles,Anse Etoile,Dollars,515,3517.56
259372,51207,"291    9.372674e+10
Name: market_capitalization ($), dtype: float64",South Sudan,Eastern Equatoria,Dollars,794,503.44
292878,51207,"291    1.210167e+10
Name: market_capitalization ($), dtype: float64",Andorra,La Massana,Dollars,388,26.49
799885,51207,"291    5.633194e+10
Name: market_capitalization ($), dtype: float64",Chad,Logone-Oriental,Dollars,175,4.1
342735,51207,"291    9.437174e+10
Name: market_capitalization ($), dtype: float64",Lebanon,Bayrūt,Dollars,397,5693.17
536077,51207,"291    4.265813e+10
Name: market_capitalization ($), dtype: float64",South Georgia and the South Sandwich Islands,NA,Dollars,802,7063.1
296091,51207,"291    1.829635e+09
Name: market_capitalization ($), dtype: float64",Guernsey,NA,Dollars,172,9.86
911583,40125,"222    2.352548e+10
Name: market_capitalization ($), dtype: float64",Georgia,K'akheti,Dollars,185,8.89
430724,40125,"222    5.935673e+09
Name: market_capitalization ($), dtype: float64",Montenegro,Berane,Dollars,613,6.95
317076,40125,"222    9.578063e+09
Name: market_capitalization ($), dtype: float64",Portugal,Setúbal,Dollars,379,849.37
828020,40125,"222    1.040547e+10
Name: market_capitalization ($), dtype: float64",Montenegro,Tivat,Dollars,556,4329.29
367870,40125,"222    1.501077e+09
Name: market_capitalization ($), dtype: float64",Heard Island and McDonald Islands,NA,Dollars,282,1.58
317578,40125,"222    1.826191e+10
Name: market_capitalization ($), dtype: float64",Palau,Ngaraard,Dollars,202,9.79
340996,40125,"222    2.482590e+10
Name: market_capitalization ($), dtype: float64",Pakistan,Azad Jammu and Kashmir,Dollars,922,9.58
138132,40125,"222    3.064987e+10
Name: market_capitalization ($), dtype: float64",Equatorial Guinea,Litoral,Dollars,161,14.74
925105,40125,"222    2.289822e+10
Name: market_capitalization ($), dtype: float64",Ethiopia,Benshangul-Gumaz,Dollars,439,9.1
418859,40125,"222    1.688740e+10
Name: market_capitalization ($), dtype: float64",Ghana,Oti,Dollars,482,15.81
744733,18262,"88    8.424886e+09
Name: market_capitalization ($), dtype: float64",Eritrea,Debubawi K’eyyĭḥ Baḥri,Dollars,861,5982.64
837354,18262,"88    3.958714e+10
Name: market_capitalization ($), dtype: float64",Namibia,Kunene,Dollars,772,8226.86
279581,18262,"88    5.500064e+10
Name: market_capitalization ($), dtype: float64",Kuwait,Al Aḩmadī,Dollars,961,692.9
396805,18262,"88    2.358807e+09
Name: market_capitalization ($), dtype: float64",Monaco,Larvotto,Dollars,971,27.43
532719,18262,"88    4.874543e+10
Name: market_capitalization ($), dtype: float64",Cambodia,Tbong Khmum,Dollars,901,62.39
618900,18262,"88    4.260280e+09
Name: market_capitalization ($), dtype: float64",Mayotte,NA,Dollars,840,770.76
972291,18262,"88    2.719115e+08
Name: market_capitalization ($), dtype: float64",Rwanda,Eastern,Dollars,997,111.28
463254,18262,"88    2.421154e+10
Name: market_capitalization ($), dtype: float64",United States,Vermont,Dollars,278,5346.4
719460,18262,"88    1.612360e+10
Name: market_capitalization ($), dtype: float64",Guadeloupe,NA,Dollars,652,588.52
195127,18262,"88    2.095384e+10
Name: market_capitalization ($), dtype: float64",Senegal,Kaffrine,Dollars,754,5424.4
